Year,Round,EventName,LapNumber,TrackStatus
2020,2,Styrian Grand Prix,30.0,1
2020,2,Styrian Grand Prix,31.0,1
2020,2,Styrian Grand Prix,32.0,1
2020,2,Styrian Grand Prix,33.0,1
2020,2,Styrian Grand Prix,34.0,1
2020,2,Styrian Grand Prix,35.0,1
2020,2,Styrian Grand Prix,36.0,1
2020,2,Styrian Grand Prix,37.0,1
2020,2,Styrian Grand Prix,38.0,1
2020,2,Styrian Grand Prix,39.0,1
2020,2,Styrian Grand Prix,40.0,1
2020,2,Styrian Grand Prix,41.0,1
2020,2,Styrian Grand Prix,42.0,1
2020,2,Styrian Grand Prix,43.0,1
2020,2,Styrian Grand Prix,44.0,1
2020,2,Styrian Grand Prix,45.0,1
2020,2,Styrian Grand Prix,46.0,1
2020,2,Styrian Grand Prix,47.0,1
2020,2,Styrian Grand Prix,48.0,1
2020,2,Styrian Grand Prix,49.0,1
2020,2,Styrian Grand Prix,50.0,1
2020,2,Styrian Grand Prix,51.0,1
2020,2,Styrian Grand Prix,52.0,1
2020,2,Styrian Grand Prix,53.0,1
2020,2,Styrian Grand Prix,54.0,1
2020,2,Styrian Grand Prix,55.0,1
2020,2,Styrian Grand Prix,56.0,1
2020,2,Styrian Grand Prix,57.0,1
2020,2,Styrian Grand Prix,58.0,1
2020,2,Styrian Grand Prix,59.0,1
2020,2,Styrian Grand Prix,60.0,1
2020,2,Styrian Grand Prix,61.0,1
2020,2,Styrian Grand Prix,62.0,1
2020,2,Styrian Grand Prix,63.0,1
2020,2,Styrian Grand Prix,64.0,1
2020,2,Styrian Grand Prix,65.0,1
2020,2,Styrian Grand Prix,66.0,1
2020,2,Styrian Grand Prix,67.0,1
2020,2,Styrian Grand Prix,68.0,1
2020,2,Styrian Grand Prix,69.0,1
2020,2,Styrian Grand Prix,70.0,1
2020,2,Styrian Grand Prix,71.0,1
2020,3,Hungarian Grand Prix,1.0,1
2020,3,Hungarian Grand Prix,2.0,1
2020,3,Hungarian Grand Prix,3.0,1
2020,3,Hungarian Grand Prix,4.0,12
2020,3,Hungarian Grand Prix,5.0,12
2020,3,Hungarian Grand Prix,6.0,1
2020,3,Hungarian Grand Prix,7.0,1
2020,3,Hungarian Grand Prix,8.0,1
2020,3,Hungarian Grand Prix,9.0,1
2020,3,Hungarian Grand Prix,10.0,1
2020,3,Hungarian Grand Prix,11.0,1
2020,3,Hungarian Grand Prix,12.0,1
2020,3,Hungarian Grand Prix,13.0,1
2020,3,Hungarian Grand Prix,14.0,1
2020,3,Hungarian Grand Prix,15.0,1
2020,3,Hungarian Grand Prix,16.0,1
2020,3,Hungarian Grand Prix,17.0,1
2020,3,Hungarian Grand Prix,18.0,1
2020,3,Hungarian Grand Prix,19.0,1
2020,3,Hungarian Grand Prix,20.0,1
2020,3,Hungarian Grand Prix,21.0,1
2020,3,Hungarian Grand Prix,22.0,1
2020,3,Hungarian Grand Prix,23.0,1
2020,3,Hungarian Grand Prix,24.0,1
2020,3,Hungarian Grand Prix,25.0,1
2020,3,Hungarian Grand Prix,26.0,1
2020,3,Hungarian Grand Prix,27.0,1
2020,3,Hungarian Grand Prix,28.0,1
2020,3,Hungarian Grand Prix,29.0,1
2020,3,Hungarian Grand Prix,30.0,1
2020,3,Hungarian Grand Prix,31.0,1
2020,3,Hungarian Grand Prix,32.0,1
2020,3,Hungarian Grand Prix,33.0,1
2020,3,Hungarian Grand Prix,34.0,1
2020,3,Hungarian Grand Prix,35.0,1
2020,3,Hungarian Grand Prix,36.0,1
2020,3,Hungarian Grand Prix,37.0,1
2020,3,Hungarian Grand Prix,38.0,1
2020,3,Hungarian Grand Prix,39.0,1
2020,3,Hungarian Grand Prix,40.0,1
2020,3,Hungarian Grand Prix,41.0,1
2020,3,Hungarian Grand Prix,42.0,1
2020,3,Hungarian Grand Prix,43.0,12
2020,3,Hungarian Grand Prix,44.0,1
2020,3,Hungarian Grand Prix,45.0,1
2020,3,Hungarian Grand Prix,46.0,1
2020,3,Hungarian Grand Prix,47.0,1
2020,3,Hungarian Grand Prix,48.0,1
2020,3,Hungarian Grand Prix,49.0,1
2020,3,Hungarian Grand Prix,50.0,1
2020,3,Hungarian Grand Prix,51.0,1
2020,3,Hungarian Grand Prix,52.0,1
2020,3,Hungarian Grand Prix,53.0,1
2020,3,Hungarian Grand Prix,54.0,1
2020,3,Hungarian Grand Prix,55.0,1
2020,3,Hungarian Grand Prix,56.0,1
2020,3,Hungarian Grand Prix,57.0,1
2020,3,Hungarian Grand Prix,58.0,1
2020,3,Hungarian Grand Prix,59.0,1
2020,3,Hungarian Grand Prix,60.0,1
2020,3,Hungarian Grand Prix,61.0,1
2020,3,Hungarian Grand Prix,62.0,1
