Year,Round,EventName,DriverAbbr,Team,BestLapTime_s
2019,1,Australian Grand Prix,ALB,Toro Rosso,82.636
2019,1,Australian Grand Prix,BOT,Mercedes,80.598
2019,1,Australian Grand Prix,GAS,Red Bull Racing,83.02
2019,1,Australian Grand Prix,GIO,Alfa Romeo Racing,82.431
2019,1,Australian Grand Prix,GRO,Haas F1 Team,81.826
2019,1,Australian Grand Prix,HAM,Mercedes,80.486
2019,1,Australian Grand Prix,HUL,Renault,82.54
2019,1,Australian Grand Prix,KUB,Williams,86.067
2019,1,Australian Grand Prix,KVY,Toro Rosso,82.511
2019,1,Australian Grand Prix,LEC,Ferrari,81.442
2019,1,Australian Grand Prix,MAG,Haas F1 Team,82.099
2019,1,Australian Grand Prix,NOR,McLaren,82.304
2019,1,Australian Grand Prix,PER,Racing Point,82.532
2019,1,Australian Grand Prix,RAI,Alfa Romeo Racing,82.314
2019,1,Australian Grand Prix,RIC,Renault,82.57
2019,1,Australian Grand Prix,RUS,Williams,84.36
2019,1,Australian Grand Prix,SAI,McLaren,83.084
2019,1,Australian Grand Prix,STR,Racing Point,83.017
2019,1,Australian Grand Prix,VER,Red Bull Racing,81.32
2019,1,Australian Grand Prix,VET,Ferrari,81.19
2019,2,Bahrain Grand Prix,ALB,Toro Rosso,89.513
2019,2,Bahrain Grand Prix,BOT,Mercedes,88.256
2019,2,Bahrain Grand Prix,GAS,Red Bull Racing,89.526
2019,2,Bahrain Grand Prix,GIO,Alfa Romeo Racing,90.026
2019,2,Bahrain Grand Prix,GRO,Haas F1 Team,89.015
2019,2,Bahrain Grand Prix,HAM,Mercedes,88.19
2019,2,Bahrain Grand Prix,HUL,Renault,90.034
2019,2,Bahrain Grand Prix,KUB,Williams,91.799
2019,2,Bahrain Grand Prix,KVY,Toro Rosso,89.854
2019,2,Bahrain Grand Prix,LEC,Ferrari,87.866
2019,2,Bahrain Grand Prix,MAG,Haas F1 Team,88.757
2019,2,Bahrain Grand Prix,NOR,McLaren,89.043
2019,2,Bahrain Grand Prix,PER,Racing Point,89.756
2019,2,Bahrain Grand Prix,RAI,Alfa Romeo Racing,89.022
2019,2,Bahrain Grand Prix,RIC,Renault,89.488
2019,2,Bahrain Grand Prix,RUS,Williams,91.759
2019,2,Bahrain Grand Prix,SAI,McLaren,88.813
2019,2,Bahrain Grand Prix,STR,Racing Point,90.217
2019,2,Bahrain Grand Prix,VER,Red Bull Racing,88.752
2019,2,Bahrain Grand Prix,VET,Ferrari,88.16
2019,3,Chinese Grand Prix,BOT,Mercedes,91.547
2019,3,Chinese Grand Prix,GAS,Red Bull Racing,92.93
2019,3,Chinese Grand Prix,GIO,Alfa Romeo Racing,136.522
2019,3,Chinese Grand Prix,GRO,Haas F1 Team,93.156
2019,3,Chinese Grand Prix,HAM,Mercedes,91.57
2019,3,Chinese Grand Prix,HUL,Renault,92.962
2019,3,Chinese Grand Prix,KUB,Williams,95.281
2019,3,Chinese Grand Prix,KVY,Toro Rosso,93.236
2019,3,Chinese Grand Prix,LEC,Ferrari,91.865
2019,3,Chinese Grand Prix,MAG,Haas F1 Team,93.15
2019,3,Chinese Grand Prix,NOR,McLaren,93.967
2019,3,Chinese Grand Prix,PER,Racing Point,93.299
2019,3,Chinese Grand Prix,RAI,Alfa Romeo Racing,93.419
2019,3,Chinese Grand Prix,RIC,Renault,92.958
2019,3,Chinese Grand Prix,RUS,Williams,95.253
2019,3,Chinese Grand Prix,SAI,McLaren,93.523
2019,3,Chinese Grand Prix,STR,Racing Point,94.292
2019,3,Chinese Grand Prix,VER,Red Bull Racing,92.089
2019,3,Chinese Grand Prix,VET,Ferrari,91.848
2019,4,Azerbaijan Grand Prix,ALB,Toro Rosso,102.154
2019,4,Azerbaijan Grand Prix,BOT,Mercedes,100.495
2019,4,Azerbaijan Grand Prix,GAS,Red Bull Racing,101.335
2019,4,Azerbaijan Grand Prix,GIO,Alfa Romeo Racing,102.14
2019,4,Azerbaijan Grand Prix,GRO,Haas F1 Team,103.407
2019,4,Azerbaijan Grand Prix,HAM,Mercedes,100.554
2019,4,Azerbaijan Grand Prix,HUL,Renault,103.427
2019,4,Azerbaijan Grand Prix,KUB,Williams,105.455
2019,4,Azerbaijan Grand Prix,KVY,Toro Rosso,101.681
2019,4,Azerbaijan Grand Prix,LEC,Ferrari,101.426
2019,4,Azerbaijan Grand Prix,MAG,Haas F1 Team,102.382
2019,4,Azerbaijan Grand Prix,NOR,McLaren,101.886
2019,4,Azerbaijan Grand Prix,PER,Racing Point,101.593
2019,4,Azerbaijan Grand Prix,RAI,Alfa Romeo Racing,102.059
2019,4,Azerbaijan Grand Prix,RIC,Renault,102.477
2019,4,Azerbaijan Grand Prix,RUS,Williams,105.062
2019,4,Azerbaijan Grand Prix,SAI,McLaren,101.936
2019,4,Azerbaijan Grand Prix,STR,Racing Point,102.63
2019,4,Azerbaijan Grand Prix,VER,Red Bull Racing,101.069
2019,4,Azerbaijan Grand Prix,VET,Ferrari,100.797
2019,5,Spanish Grand Prix,ALB,Toro Rosso,77.445
2019,5,Spanish Grand Prix,BOT,Mercedes,75.406
2019,5,Spanish Grand Prix,GAS,Red Bull Racing,76.708
2019,5,Spanish Grand Prix,GIO,Alfa Romeo Racing,78.664
2019,5,Spanish Grand Prix,GRO,Haas F1 Team,76.911
2019,5,Spanish Grand Prix,HAM,Mercedes,76.038
2019,5,Spanish Grand Prix,HUL,Renault,78.404
2019,5,Spanish Grand Prix,KUB,Williams,80.254
2019,5,Spanish Grand Prix,KVY,Toro Rosso,77.243
2019,5,Spanish Grand Prix,LEC,Ferrari,76.588
2019,5,Spanish Grand Prix,MAG,Haas F1 Team,76.922
2019,5,Spanish Grand Prix,NOR,McLaren,77.338
2019,5,Spanish Grand Prix,PER,Racing Point,77.886
2019,5,Spanish Grand Prix,RAI,Alfa Romeo Racing,77.788
2019,5,Spanish Grand Prix,RIC,Renault,77.299
