Year,Round,EventName,DriverAbbr,Team,BestLapTime_s
2026,1,Australian Grand Prix,ALB,Williams,80.941
2026,1,Australian Grand Prix,ALO,Aston Martin,81.969
2026,1,Australian Grand Prix,ANT,Mercedes,78.811
2026,1,Australian Grand Prix,BEA,Haas F1 Team,80.311
2026,1,Australian Grand Prix,BOR,Audi,80.221
2026,1,Australian Grand Prix,BOT,Cadillac,83.244
2026,1,Australian Grand Prix,COL,Alpine,81.2
2026,1,Australian Grand Prix,GAS,Alpine,80.501
2026,1,Australian Grand Prix,HAD,Red Bull Racing,79.303
2026,1,Australian Grand Prix,HAM,Ferrari,79.478
2026,1,Australian Grand Prix,HUL,Audi,80.303
2026,1,Australian Grand Prix,LAW,Racing Bulls,79.994
2026,1,Australian Grand Prix,LEC,Ferrari,79.327
2026,1,Australian Grand Prix,LIN,Racing Bulls,79.971
2026,1,Australian Grand Prix,NOR,McLaren,79.475
2026,1,Australian Grand Prix,OCO,Haas F1 Team,80.491
2026,1,Australian Grand Prix,PER,Cadillac,82.605
2026,1,Australian Grand Prix,PIA,McLaren,79.38
2026,1,Australian Grand Prix,RUS,Mercedes,78.518
2026,1,Australian Grand Prix,VER,Red Bull Racing,102.025
2026,2,Chinese Grand Prix,ALB,Williams,94.772
2026,2,Chinese Grand Prix,ALO,Aston Martin,95.203
2026,2,Chinese Grand Prix,ANT,Mercedes,92.064
2026,2,Chinese Grand Prix,BEA,Haas F1 Team,93.197
2026,2,Chinese Grand Prix,BOR,Audi,93.549
2026,2,Chinese Grand Prix,BOT,Cadillac,95.436
2026,2,Chinese Grand Prix,COL,Alpine,93.357
2026,2,Chinese Grand Prix,GAS,Alpine,92.873
2026,2,Chinese Grand Prix,HAD,Red Bull Racing,93.121
2026,2,Chinese Grand Prix,HAM,Ferrari,92.415
2026,2,Chinese Grand Prix,HUL,Audi,93.354
2026,2,Chinese Grand Prix,LAW,Racing Bulls,93.765
2026,2,Chinese Grand Prix,LEC,Ferrari,92.428
2026,2,Chinese Grand Prix,LIN,Racing Bulls,93.784
2026,2,Chinese Grand Prix,NOR,McLaren,92.608
2026,2,Chinese Grand Prix,OCO,Haas F1 Team,93.538
2026,2,Chinese Grand Prix,PER,Cadillac,96.906
2026,2,Chinese Grand Prix,PIA,McLaren,92.55
2026,2,Chinese Grand Prix,RUS,Mercedes,92.286
2026,2,Chinese Grand Prix,SAI,Williams,94.317
2026,2,Chinese Grand Prix,STR,Aston Martin,95.995
2026,2,Chinese Grand Prix,VER,Red Bull Racing,93.002
