Year,Round,EventName,DriverNumber,DriverAbbr,TeamName,GridPosition,Position,Points,Status,ClassifiedLaps,TotalRaceLaps
2022,1,Bahrain Grand Prix,16,LEC,Ferrari,1.0,1.0,26.0,Finished,57.0,57
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3.0,2.0,18.0,Finished,57.0,57
2022,1,Bahrain Grand Prix,44,HAM,Mercedes,5.0,3.0,15.0,Finished,57.0,57
2022,1,Bahrain Grand Prix,63,RUS,Mercedes,9.0,4.0,12.0,Finished,57.0,57
2022,1,Bahrain Grand Prix,20,MAG,Haas F1 Team,7.0,5.0,10.0,Finished,57.0,57
2022,1,Bahrain Grand Prix,77,BOT,Alfa Romeo,6.0,6.0,8.0,Finished,57.0,57
2022,1,Bahrain Grand Prix,31,OCO,Alpine,11.0,7.0,6.0,Finished,57.0,57
2022,1,Bahrain Grand Prix,22,TSU,AlphaTauri,16.0,8.0,4.0,Finished,57.0,57
2022,1,Bahrain Grand Prix,14,ALO,Alpine,8.0,9.0,2.0,Finished,57.0,57
2022,1,Bahrain Grand Prix,24,ZHO,Alfa Romeo,15.0,10.0,1.0,Finished,57.0,57
2022,1,Bahrain Grand Prix,47,MSC,Haas F1 Team,12.0,11.0,0.0,Finished,57.0,57
2022,1,Bahrain Grand Prix,18,STR,Aston Martin,19.0,12.0,0.0,Finished,57.0,57
2022,1,Bahrain Grand Prix,23,ALB,Williams,14.0,13.0,0.0,Finished,57.0,57
2022,1,Bahrain Grand Prix,3,RIC,McLaren,18.0,14.0,0.0,Finished,57.0,57
2022,1,Bahrain Grand Prix,4,NOR,McLaren,13.0,15.0,0.0,Finished,57.0,57
2022,1,Bahrain Grand Prix,6,LAT,Williams,20.0,16.0,0.0,Finished,57.0,57
2022,1,Bahrain Grand Prix,27,HUL,Aston Martin,17.0,17.0,0.0,Finished,57.0,57
2022,1,Bahrain Grand Prix,11,PER,Red Bull Racing,4.0,18.0,0.0,Fuel pressure,57.0,57
2022,1,Bahrain Grand Prix,1,VER,Red Bull Racing,2.0,19.0,0.0,Fuel pressure,54.0,57
2022,1,Bahrain Grand Prix,10,GAS,AlphaTauri,10.0,20.0,0.0,Power Unit,45.0,57
2022,2,Saudi Arabian Grand Prix,1,VER,Red Bull Racing,4.0,1.0,25.0,Finished,50.0,50
2022,2,Saudi Arabian Grand Prix,16,LEC,Ferrari,2.0,2.0,19.0,Finished,50.0,50
2022,2,Saudi Arabian Grand Prix,55,SAI,Ferrari,3.0,3.0,15.0,Finished,50.0,50
2022,2,Saudi Arabian Grand Prix,11,PER,Red Bull Racing,1.0,4.0,12.0,Finished,50.0,50
2022,2,Saudi Arabian Grand Prix,63,RUS,Mercedes,6.0,5.0,10.0,Finished,50.0,50
2022,2,Saudi Arabian Grand Prix,31,OCO,Alpine,5.0,6.0,8.0,Finished,50.0,50
2022,2,Saudi Arabian Grand Prix,4,NOR,McLaren,11.0,7.0,6.0,Finished,50.0,50
2022,2,Saudi Arabian Grand Prix,10,GAS,AlphaTauri,9.0,8.0,4.0,Finished,50.0,50
2022,2,Saudi Arabian Grand Prix,20,MAG,Haas F1 Team,10.0,9.0,2.0,Finished,50.0,50
2022,2,Saudi Arabian Grand Prix,44,HAM,Mercedes,15.0,10.0,1.0,Finished,50.0,50
2022,2,Saudi Arabian Grand Prix,24,ZHO,Alfa Romeo,12.0,11.0,0.0,Finished,50.0,50
2022,2,Saudi Arabian Grand Prix,27,HUL,Aston Martin,17.0,12.0,0.0,Finished,50.0,50
2022,2,Saudi Arabian Grand Prix,18,STR,Aston Martin,13.0,13.0,0.0,+1 Lap,49.0,50
2022,2,Saudi Arabian Grand Prix,23,ALB,Williams,16.0,14.0,0.0,Collision damage,48.0,50
2022,2,Saudi Arabian Grand Prix,77,BOT,Alfa Romeo,8.0,15.0,0.0,Cooling system,36.0,50
2022,2,Saudi Arabian Grand Prix,14,ALO,Alpine,7.0,16.0,0.0,Water pump,36.0,50
