Year,Round,EventName,Location,Country,EventFormat,CircuitType,CircuitLength_km,DRS_Zones
2021,1,Bahrain Grand Prix,Sakhir,Bahrain,conventional,permanent,5.412,2
2021,2,Emilia Romagna Grand Prix,Imola,Italy,conventional,permanent,4.909,1
2021,3,Portuguese Grand Prix,Portimão,Portugal,conventional,permanent,4.653,2
2021,4,Spanish Grand Prix,Barcelona,Spain,conventional,permanent,4.675,2
2021,5,Monaco Grand Prix,Monte Carlo,Monaco,conventional,street,3.337,1
2021,6,Azerbaijan Grand Prix,Baku,Azerbaijan,conventional,street,6.003,2
2021,7,French Grand Prix,Le Castellet,France,conventional,permanent,5.842,2
2021,8,Styrian Grand Prix,Spielberg,Austria,conventional,permanent,4.318,3
2021,9,Austrian Grand Prix,Spielberg,Austria,conventional,permanent,4.318,3
2021,10,British Grand Prix,Silverstone,Great Britain,sprint,permanent,5.891,2
2021,11,Hungarian Grand Prix,Budapest,Hungary,conventional,permanent,4.381,1
2021,12,Belgian Grand Prix,Spa-Francorchamps,Belgium,conventional,permanent,7.004,2
2021,13,Dutch Grand Prix,Zandvoort,Netherlands,conventional,permanent,4.259,2
2021,14,Italian Grand Prix,Monza,Italy,sprint,permanent,5.793,2
2021,15,Russian Grand Prix,Sochi,Russia,conventional,street,5.848,2
2021,16,Turkish Grand Prix,Istanbul,Turkey,conventional,permanent,5.338,1
2021,17,United States Grand Prix,Austin,United States,conventional,permanent,5.513,2
2021,18,Mexico City Grand Prix,Mexico City,Mexico,conventional,permanent,4.304,3
2021,19,São Paulo Grand Prix,São Paulo,Brazil,sprint,permanent,4.309,2
2021,20,Qatar Grand Prix,Lusail,Qatar,conventional,permanent,5.38,2
2021,21,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,conventional,street,6.174,3
2021,22,Abu Dhabi Grand Prix,Yas Island,Abu Dhabi,conventional,permanent,5.281,2
