Year,Round,EventName,DriverAbbr,Team,BestLapTime_s
2024,1,Bahrain Grand Prix,ALB,Williams,90.221
2024,1,Bahrain Grand Prix,ALO,Aston Martin,89.542
2024,1,Bahrain Grand Prix,BOT,Kick Sauber,90.756
2024,1,Bahrain Grand Prix,GAS,Alpine,90.948
2024,1,Bahrain Grand Prix,HAM,Mercedes,89.71
2024,1,Bahrain Grand Prix,HUL,Haas F1 Team,89.851
2024,1,Bahrain Grand Prix,LEC,Ferrari,89.165
2024,1,Bahrain Grand Prix,MAG,Haas F1 Team,90.529
2024,1,Bahrain Grand Prix,NOR,McLaren,89.614
2024,1,Bahrain Grand Prix,OCO,Alpine,90.793
2024,1,Bahrain Grand Prix,PER,Red Bull Racing,89.537
2024,1,Bahrain Grand Prix,PIA,McLaren,89.683
2024,1,Bahrain Grand Prix,RIC,RB,90.278
2024,1,Bahrain Grand Prix,RUS,Mercedes,89.485
2024,1,Bahrain Grand Prix,SAI,Ferrari,89.507
2024,1,Bahrain Grand Prix,SAR,Williams,90.77
2024,1,Bahrain Grand Prix,STR,Aston Martin,89.965
2024,1,Bahrain Grand Prix,TSU,RB,90.129
2024,1,Bahrain Grand Prix,VER,Red Bull Racing,89.179
2024,1,Bahrain Grand Prix,ZHO,Kick Sauber,90.757
2024,2,Saudi Arabian Grand Prix,ALB,Williams,88.98
2024,2,Saudi Arabian Grand Prix,ALO,Aston Martin,87.846
2024,2,Saudi Arabian Grand Prix,BEA,Ferrari,88.642
2024,2,Saudi Arabian Grand Prix,BOT,Kick Sauber,89.179
2024,2,Saudi Arabian Grand Prix,GAS,Alpine,89.479
2024,2,Saudi Arabian Grand Prix,HAM,Mercedes,88.46
2024,2,Saudi Arabian Grand Prix,HUL,Haas F1 Team,89.055
2024,2,Saudi Arabian Grand Prix,LEC,Ferrari,87.791
2024,2,Saudi Arabian Grand Prix,MAG,Haas F1 Team,89.02
2024,2,Saudi Arabian Grand Prix,NOR,McLaren,88.132
2024,2,Saudi Arabian Grand Prix,OCO,Alpine,89.475
2024,2,Saudi Arabian Grand Prix,PER,Red Bull Racing,87.807
2024,2,Saudi Arabian Grand Prix,PIA,McLaren,88.089
2024,2,Saudi Arabian Grand Prix,RIC,RB,89.025
2024,2,Saudi Arabian Grand Prix,RUS,Mercedes,88.316
2024,2,Saudi Arabian Grand Prix,SAR,Williams,89.526
2024,2,Saudi Arabian Grand Prix,STR,Aston Martin,88.25
2024,2,Saudi Arabian Grand Prix,TSU,RB,88.547
2024,2,Saudi Arabian Grand Prix,VER,Red Bull Racing,87.472
2024,2,Saudi Arabian Grand Prix,ZHO,Kick Sauber,121.101
2024,3,Australian Grand Prix,ALB,Williams,77.13
2024,3,Australian Grand Prix,ALO,Aston Martin,76.71
2024,3,Australian Grand Prix,BOT,Kick Sauber,77.34
2024,3,Australian Grand Prix,GAS,Alpine,77.982
2024,3,Australian Grand Prix,HAM,Mercedes,76.96
2024,3,Australian Grand Prix,HUL,Haas F1 Team,77.976
2024,3,Australian Grand Prix,LEC,Ferrari,76.304
2024,3,Australian Grand Prix,MAG,Haas F1 Team,77.427
2024,3,Australian Grand Prix,NOR,McLaren,76.315
2024,3,Australian Grand Prix,OCO,Alpine,77.617
2024,3,Australian Grand Prix,PER,Red Bull Racing,76.274
2024,3,Australian Grand Prix,PIA,McLaren,76.572
2024,3,Australian Grand Prix,RIC,RB,77.466
2024,3,Australian Grand Prix,RUS,Mercedes,76.724
2024,3,Australian Grand Prix,SAI,Ferrari,76.185
2024,3,Australian Grand Prix,STR,Aston Martin,76.78
2024,3,Australian Grand Prix,TSU,RB,76.788
2024,3,Australian Grand Prix,VER,Red Bull Racing,75.915
