Year,Round,EventName,DriverAbbr,Team,BestLapTime_s
2020,1,Austrian Grand Prix,ALB,Red Bull Racing,63.746
2020,1,Austrian Grand Prix,BOT,Mercedes,62.939
2020,1,Austrian Grand Prix,GAS,AlphaTauri,64.305
2020,1,Austrian Grand Prix,GIO,Alfa Romeo Racing,65.175
2020,1,Austrian Grand Prix,GRO,Haas F1 Team,64.691
2020,1,Austrian Grand Prix,HAM,Mercedes,62.951
2020,1,Austrian Grand Prix,KVY,AlphaTauri,64.431
2020,1,Austrian Grand Prix,LAT,Williams,65.757
2020,1,Austrian Grand Prix,LEC,Ferrari,63.923
2020,1,Austrian Grand Prix,MAG,Haas F1 Team,65.164
2020,1,Austrian Grand Prix,NOR,McLaren,63.626
2020,1,Austrian Grand Prix,OCO,Renault,64.643
2020,1,Austrian Grand Prix,PER,Racing Point,63.86
2020,1,Austrian Grand Prix,RAI,Alfa Romeo Racing,65.224
2020,1,Austrian Grand Prix,RIC,Renault,64.023
2020,1,Austrian Grand Prix,RUS,Williams,65.167
2020,1,Austrian Grand Prix,SAI,McLaren,63.971
2020,1,Austrian Grand Prix,STR,Racing Point,63.955
2020,1,Austrian Grand Prix,VER,Red Bull Racing,63.477
2020,1,Austrian Grand Prix,VET,Ferrari,64.206
2020,2,Styrian Grand Prix,ALB,Red Bull Racing,79.014
2020,2,Styrian Grand Prix,BOT,Mercedes,78.657
2020,2,Styrian Grand Prix,GAS,AlphaTauri,78.744
2020,2,Styrian Grand Prix,GIO,Alfa Romeo Racing,81.831
2020,2,Styrian Grand Prix,HAM,Mercedes,77.825
2020,2,Styrian Grand Prix,KVY,AlphaTauri,79.717
2020,2,Styrian Grand Prix,LAT,Williams,81.759
2020,2,Styrian Grand Prix,LEC,Ferrari,79.628
2020,2,Styrian Grand Prix,MAG,Haas F1 Team,80.211
2020,2,Styrian Grand Prix,NOR,McLaren,78.448
2020,2,Styrian Grand Prix,OCO,Renault,78.764
2020,2,Styrian Grand Prix,PER,Racing Point,81.607
2020,2,Styrian Grand Prix,RAI,Alfa Romeo Racing,81.372
2020,2,Styrian Grand Prix,RIC,Renault,79.229
2020,2,Styrian Grand Prix,RUS,Williams,79.636
2020,2,Styrian Grand Prix,SAI,McLaren,78.59
2020,2,Styrian Grand Prix,STR,Racing Point,79.645
2020,2,Styrian Grand Prix,VER,Red Bull Racing,77.938
2020,2,Styrian Grand Prix,VET,Ferrari,79.545
2020,3,Hungarian Grand Prix,ALB,Red Bull Racing,75.715
2020,3,Hungarian Grand Prix,BOT,Mercedes,73.554
2020,3,Hungarian Grand Prix,GAS,AlphaTauri,75.508
2020,3,Hungarian Grand Prix,GIO,Alfa Romeo Racing,76.506
2020,3,Hungarian Grand Prix,GRO,Haas F1 Team,76.407
2020,3,Hungarian Grand Prix,HAM,Mercedes,73.447
2020,3,Hungarian Grand Prix,KVY,AlphaTauri,76.204
2020,3,Hungarian Grand Prix,LAT,Williams,76.105
2020,3,Hungarian Grand Prix,LEC,Ferrari,74.817
