Year,Round,EventName,DriverNumber,DriverAbbr,TeamName,GridPosition,Position,Points,Status,ClassifiedLaps,TotalRaceLaps
2025,1,Australian Grand Prix,4,NOR,McLaren,1.0,1.0,25.0,Finished,57.0,57
2025,1,Australian Grand Prix,1,VER,Red Bull Racing,3.0,2.0,18.0,Finished,57.0,57
2025,1,Australian Grand Prix,63,RUS,Mercedes,4.0,3.0,15.0,Finished,57.0,57
2025,1,Australian Grand Prix,12,ANT,Mercedes,16.0,4.0,12.0,Finished,57.0,57
2025,1,Australian Grand Prix,23,ALB,Williams,6.0,5.0,10.0,Finished,57.0,57
2025,1,Australian Grand Prix,18,STR,Aston Martin,13.0,6.0,8.0,Finished,57.0,57
2025,1,Australian Grand Prix,27,HUL,Kick Sauber,17.0,7.0,6.0,Finished,57.0,57
2025,1,Australian Grand Prix,16,LEC,Ferrari,7.0,8.0,4.0,Finished,57.0,57
2025,1,Australian Grand Prix,81,PIA,McLaren,2.0,9.0,2.0,Finished,57.0,57
2025,1,Australian Grand Prix,44,HAM,Ferrari,8.0,10.0,1.0,Finished,57.0,57
2025,1,Australian Grand Prix,10,GAS,Alpine,9.0,11.0,0.0,Finished,57.0,57
2025,1,Australian Grand Prix,22,TSU,Racing Bulls,5.0,12.0,0.0,Finished,57.0,57
2025,1,Australian Grand Prix,31,OCO,Haas F1 Team,19.0,13.0,0.0,Finished,57.0,57
2025,1,Australian Grand Prix,87,BEA,Haas F1 Team,20.0,14.0,0.0,Finished,57.0,57
2025,1,Australian Grand Prix,30,LAW,Red Bull Racing,18.0,15.0,0.0,Retired,47.0,57
2025,1,Australian Grand Prix,5,BOR,Kick Sauber,15.0,16.0,0.0,Retired,46.0,57
2025,1,Australian Grand Prix,14,ALO,Aston Martin,12.0,17.0,0.0,Retired,33.0,57
2025,1,Australian Grand Prix,55,SAI,Williams,10.0,18.0,0.0,Retired,1.0,57
2025,1,Australian Grand Prix,7,DOO,Alpine,14.0,19.0,0.0,Retired,1.0,57
2025,1,Australian Grand Prix,6,HAD,Racing Bulls,11.0,20.0,0.0,Retired,1.0,57
2025,2,Chinese Grand Prix,81,PIA,McLaren,1.0,1.0,25.0,Finished,56.0,56
