Year,Round,EventName,DriverNumber,DriverAbbr,TeamName,GridPosition,Position,Points,Status,ClassifiedLaps,TotalRaceLaps
2020,1,Austrian Grand Prix,77,BOT,Mercedes,1.0,1.0,25.0,Finished,68.0,71
2020,1,Austrian Grand Prix,16,LEC,Ferrari,7.0,2.0,18.0,Finished,67.0,71
2020,1,Austrian Grand Prix,4,NOR,McLaren,3.0,3.0,16.0,Finished,67.0,71
2020,1,Austrian Grand Prix,44,HAM,Mercedes,5.0,4.0,12.0,Finished,67.0,71
2020,1,Austrian Grand Prix,55,SAI,McLaren,8.0,5.0,10.0,Finished,67.0,71
2020,1,Austrian Grand Prix,11,PER,Racing Point,6.0,6.0,8.0,Finished,67.0,71
2020,1,Austrian Grand Prix,10,GAS,AlphaTauri,12.0,7.0,6.0,Finished,67.0,71
2020,1,Austrian Grand Prix,31,OCO,Renault,14.0,8.0,4.0,Finished,67.0,71
2020,1,Austrian Grand Prix,99,GIO,Alfa Romeo Racing,18.0,9.0,2.0,Finished,67.0,71
2020,1,Austrian Grand Prix,5,VET,Ferrari,11.0,10.0,1.0,Finished,67.0,71
2020,1,Austrian Grand Prix,6,LAT,Williams,20.0,11.0,0.0,Finished,67.0,71
2020,1,Austrian Grand Prix,26,KVY,AlphaTauri,13.0,12.0,0.0,Suspension,65.0,71
2020,1,Austrian Grand Prix,23,ALB,Red Bull Racing,4.0,13.0,0.0,Electronics,63.0,71
2020,1,Austrian Grand Prix,7,RAI,Alfa Romeo Racing,19.0,14.0,0.0,Wheel,49.0,71
2020,1,Austrian Grand Prix,63,RUS,Williams,17.0,15.0,0.0,Fuel pressure,45.0,71
2020,1,Austrian Grand Prix,8,GRO,Haas F1 Team,15.0,16.0,0.0,Brakes,44.0,71
2020,1,Austrian Grand Prix,20,MAG,Haas F1 Team,16.0,17.0,0.0,Brakes,20.0,71
2020,1,Austrian Grand Prix,18,STR,Racing Point,9.0,18.0,0.0,Engine,15.0,71
2020,1,Austrian Grand Prix,3,RIC,Renault,10.0,19.0,0.0,Overheating,12.0,71
2020,1,Austrian Grand Prix,33,VER,Red Bull Racing,2.0,20.0,0.0,Electronics,10.0,71
2020,2,Styrian Grand Prix,44,HAM,Mercedes,1.0,1.0,25.0,Finished,71.0,71
2020,2,Styrian Grand Prix,77,BOT,Mercedes,4.0,2.0,18.0,Finished,71.0,71
2020,2,Styrian Grand Prix,33,VER,Red Bull Racing,2.0,3.0,15.0,Finished,71.0,71
2020,2,Styrian Grand Prix,23,ALB,Red Bull Racing,6.0,4.0,12.0,Finished,71.0,71
2020,2,Styrian Grand Prix,4,NOR,McLaren,9.0,5.0,10.0,Finished,71.0,71
2020,2,Styrian Grand Prix,11,PER,Racing Point,17.0,6.0,8.0,Finished,71.0,71
2020,2,Styrian Grand Prix,18,STR,Racing Point,12.0,7.0,6.0,Finished,71.0,71
2020,2,Styrian Grand Prix,3,RIC,Renault,8.0,8.0,4.0,Finished,71.0,71
2020,2,Styrian Grand Prix,55,SAI,McLaren,3.0,9.0,3.0,+1 Lap,70.0,71
2020,2,Styrian Grand Prix,26,KVY,AlphaTauri,13.0,10.0,1.0,+1 Lap,70.0,71
2020,2,Styrian Grand Prix,7,RAI,Alfa Romeo Racing,16.0,11.0,0.0,+1 Lap,70.0,71
2020,2,Styrian Grand Prix,20,MAG,Haas F1 Team,15.0,12.0,0.0,+1 Lap,70.0,71
2020,2,Styrian Grand Prix,8,GRO,Haas F1 Team,0.0,13.0,0.0,+1 Lap,70.0,71
2020,2,Styrian Grand Prix,99,GIO,Alfa Romeo Racing,19.0,14.0,0.0,+1 Lap,70.0,71
2020,2,Styrian Grand Prix,10,GAS,AlphaTauri,7.0,15.0,0.0,+1 Lap,70.0,71
2020,2,Styrian Grand Prix,63,RUS,Williams,11.0,16.0,0.0,+2 Laps,69.0,71
2020,2,Styrian Grand Prix,6,LAT,Williams,18.0,17.0,0.0,+2 Laps,69.0,71
2020,2,Styrian Grand Prix,31,OCO,Renault,5.0,18.0,0.0,Overheating,25.0,71
2020,2,Styrian Grand Prix,16,LEC,Ferrari,14.0,19.0,0.0,Collision damage,4.0,71
2020,2,Styrian Grand Prix,5,VET,Ferrari,10.0,20.0,0.0,Collision damage,1.0,71
2020,3,Hungarian Grand Prix,44,HAM,Mercedes,1.0,1.0,26.0,Finished,70.0,70
2020,3,Hungarian Grand Prix,33,VER,Red Bull Racing,7.0,2.0,18.0,Finished,70.0,70
2020,3,Hungarian Grand Prix,77,BOT,Mercedes,2.0,3.0,15.0,Finished,70.0,70
2020,3,Hungarian Grand Prix,18,STR,Racing Point,3.0,4.0,12.0,Finished,70.0,70
2020,3,Hungarian Grand Prix,23,ALB,Red Bull Racing,13.0,5.0,10.0,Finished,70.0,70
2020,3,Hungarian Grand Prix,5,VET,Ferrari,5.0,6.0,8.0,+1 Lap,69.0,70
2020,3,Hungarian Grand Prix,11,PER,Racing Point,4.0,7.0,6.0,+1 Lap,69.0,70
2020,3,Hungarian Grand Prix,3,RIC,Renault,11.0,8.0,4.0,+1 Lap,69.0,70
2020,3,Hungarian Grand Prix,55,SAI,McLaren,9.0,9.0,2.0,+1 Lap,69.0,70
2020,3,Hungarian Grand Prix,20,MAG,Haas F1 Team,0.0,10.0,1.0,+1 Lap,69.0,70
2020,3,Hungarian Grand Prix,16,LEC,Ferrari,6.0,11.0,0.0,+1 Lap,69.0,70
2020,3,Hungarian Grand Prix,26,KVY,AlphaTauri,17.0,12.0,0.0,+1 Lap,69.0,70
2020,3,Hungarian Grand Prix,4,NOR,McLaren,8.0,13.0,0.0,+1 Lap,69.0,70
2020,3,Hungarian Grand Prix,31,OCO,Renault,14.0,14.0,0.0,+1 Lap,69.0,70
2020,3,Hungarian Grand Prix,7,RAI,Alfa Romeo Racing,20.0,15.0,0.0,+1 Lap,69.0,70
2020,3,Hungarian Grand Prix,8,GRO,Haas F1 Team,0.0,16.0,0.0,+1 Lap,69.0,70
2020,3,Hungarian Grand Prix,99,GIO,Alfa Romeo Racing,19.0,17.0,0.0,+1 Lap,69.0,70
2020,3,Hungarian Grand Prix,63,RUS,Williams,12.0,18.0,0.0,+1 Lap,69.0,70
2020,3,Hungarian Grand Prix,6,LAT,Williams,15.0,19.0,0.0,+5 Laps,65.0,70
2020,3,Hungarian Grand Prix,10,GAS,AlphaTauri,10.0,20.0,0.0,Engine,15.0,70
2020,4,British Grand Prix,44,HAM,Mercedes,1.0,1.0,25.0,Finished,52.0,52
2020,4,British Grand Prix,33,VER,Red Bull Racing,3.0,2.0,19.0,Finished,52.0,52
2020,4,British Grand Prix,16,LEC,Ferrari,4.0,3.0,15.0,Finished,52.0,52
2020,4,British Grand Prix,3,RIC,Renault,8.0,4.0,12.0,Finished,52.0,52
2020,4,British Grand Prix,4,NOR,McLaren,5.0,5.0,10.0,Finished,52.0,52
2020,4,British Grand Prix,31,OCO,Renault,9.0,6.0,8.0,Finished,52.0,52
2020,4,British Grand Prix,10,GAS,AlphaTauri,11.0,7.0,6.0,Finished,52.0,52
2020,4,British Grand Prix,23,ALB,Red Bull Racing,12.0,8.0,4.0,Finished,52.0,52
2020,4,British Grand Prix,18,STR,Racing Point,6.0,9.0,2.0,Finished,52.0,52
2020,4,British Grand Prix,5,VET,Ferrari,10.0,10.0,1.0,Finished,52.0,52
2020,4,British Grand Prix,77,BOT,Mercedes,2.0,11.0,0.0,Finished,52.0,52
2020,4,British Grand Prix,63,RUS,Williams,20.0,12.0,0.0,Finished,52.0,52
2020,4,British Grand Prix,55,SAI,McLaren,7.0,13.0,0.0,Finished,52.0,52
2020,4,British Grand Prix,99,GIO,Alfa Romeo Racing,15.0,14.0,0.0,Finished,52.0,52
2020,4,British Grand Prix,6,LAT,Williams,18.0,15.0,0.0,Finished,52.0,52
2020,4,British Grand Prix,8,GRO,Haas F1 Team,17.0,16.0,0.0,Finished,52.0,52
2020,4,British Grand Prix,7,RAI,Alfa Romeo Racing,16.0,17.0,0.0,+1 Lap,51.0,52
2020,4,British Grand Prix,26,KVY,AlphaTauri,19.0,18.0,0.0,Accident,12.0,52
2020,4,British Grand Prix,20,MAG,Haas F1 Team,14.0,19.0,0.0,Collision,2.0,52
2020,4,British Grand Prix,27,HUL,Racing Point,13.0,20.0,0.0,Power Unit,1.0,52
2020,5,70th Anniversary Grand Prix,33,VER,Red Bull Racing,4.0,1.0,25.0,Finished,52.0,52
2020,5,70th Anniversary Grand Prix,44,HAM,Mercedes,2.0,2.0,19.0,Finished,52.0,52
2020,5,70th Anniversary Grand Prix,77,BOT,Mercedes,1.0,3.0,15.0,Finished,52.0,52
2020,5,70th Anniversary Grand Prix,16,LEC,Ferrari,8.0,4.0,12.0,Finished,52.0,52
2020,5,70th Anniversary Grand Prix,23,ALB,Red Bull Racing,9.0,5.0,10.0,Finished,52.0,52
2020,5,70th Anniversary Grand Prix,18,STR,Racing Point,6.0,6.0,8.0,Finished,52.0,52
2020,5,70th Anniversary Grand Prix,27,HUL,Racing Point,3.0,7.0,6.0,Finished,52.0,52
2020,5,70th Anniversary Grand Prix,31,OCO,Renault,14.0,8.0,4.0,Finished,52.0,52
2020,5,70th Anniversary Grand Prix,4,NOR,McLaren,10.0,9.0,2.0,Finished,52.0,52
2020,5,70th Anniversary Grand Prix,26,KVY,AlphaTauri,16.0,10.0,1.0,Finished,52.0,52
2020,5,70th Anniversary Grand Prix,10,GAS,AlphaTauri,7.0,11.0,0.0,Finished,52.0,52
2020,5,70th Anniversary Grand Prix,5,VET,Ferrari,11.0,12.0,0.0,Finished,52.0,52
2020,5,70th Anniversary Grand Prix,55,SAI,McLaren,12.0,13.0,0.0,Finished,52.0,52
2020,5,70th Anniversary Grand Prix,3,RIC,Renault,5.0,14.0,0.0,+1 Lap,51.0,52
2020,5,70th Anniversary Grand Prix,7,RAI,Alfa Romeo Racing,20.0,15.0,0.0,+1 Lap,51.0,52
2020,5,70th Anniversary Grand Prix,8,GRO,Haas F1 Team,13.0,16.0,0.0,+1 Lap,51.0,52
2020,5,70th Anniversary Grand Prix,99,GIO,Alfa Romeo Racing,19.0,17.0,0.0,+1 Lap,51.0,52
2020,5,70th Anniversary Grand Prix,63,RUS,Williams,15.0,18.0,0.0,+1 Lap,51.0,52
2020,5,70th Anniversary Grand Prix,6,LAT,Williams,18.0,19.0,0.0,+1 Lap,51.0,52
2020,5,70th Anniversary Grand Prix,20,MAG,Haas F1 Team,17.0,20.0,0.0,Retired,43.0,52
