Year,Round,EventName,DriverNumber,DriverAbbr,TeamName,GridPosition,Position,Points,Status,ClassifiedLaps,TotalRaceLaps
2021,1,Bahrain Grand Prix,44,HAM,Mercedes,2.0,1.0,25.0,Finished,56.0,56
2021,1,Bahrain Grand Prix,33,VER,Red Bull Racing,1.0,2.0,18.0,Finished,56.0,56
2021,1,Bahrain Grand Prix,77,BOT,Mercedes,3.0,3.0,16.0,Finished,56.0,56
2021,1,Bahrain Grand Prix,4,NOR,McLaren,7.0,4.0,12.0,Finished,56.0,56
2021,1,Bahrain Grand Prix,11,PER,Red Bull Racing,0.0,5.0,10.0,Finished,56.0,56
2021,1,Bahrain Grand Prix,16,LEC,Ferrari,4.0,6.0,8.0,Finished,56.0,56
2021,1,Bahrain Grand Prix,3,RIC,McLaren,6.0,7.0,6.0,Finished,56.0,56
2021,1,Bahrain Grand Prix,55,SAI,Ferrari,8.0,8.0,4.0,Finished,56.0,56
2021,1,Bahrain Grand Prix,22,TSU,AlphaTauri,13.0,9.0,2.0,Finished,56.0,56
2021,1,Bahrain Grand Prix,18,STR,Aston Martin,10.0,10.0,1.0,Finished,56.0,56
2021,1,Bahrain Grand Prix,7,RAI,Alfa Romeo Racing,14.0,11.0,0.0,Finished,56.0,56
2021,1,Bahrain Grand Prix,99,GIO,Alfa Romeo Racing,12.0,12.0,0.0,+1 Lap,55.0,56
2021,1,Bahrain Grand Prix,31,OCO,Alpine,16.0,13.0,0.0,+1 Lap,55.0,56
2021,1,Bahrain Grand Prix,63,RUS,Williams,15.0,14.0,0.0,+1 Lap,55.0,56
2021,1,Bahrain Grand Prix,5,VET,Aston Martin,20.0,15.0,0.0,+1 Lap,55.0,56
2021,1,Bahrain Grand Prix,47,MSC,Haas F1 Team,18.0,16.0,0.0,+1 Lap,55.0,56
2021,1,Bahrain Grand Prix,10,GAS,AlphaTauri,5.0,17.0,0.0,Retired,52.0,56
2021,1,Bahrain Grand Prix,6,LAT,Williams,17.0,18.0,0.0,Retired,51.0,56
2021,1,Bahrain Grand Prix,14,ALO,Alpine,9.0,19.0,0.0,Brakes,32.0,56
2021,1,Bahrain Grand Prix,9,MAZ,Haas F1 Team,19.0,20.0,0.0,Accident,1.0,56
2021,2,Emilia Romagna Grand Prix,33,VER,Red Bull Racing,3.0,1.0,25.0,Finished,63.0,63
2021,2,Emilia Romagna Grand Prix,44,HAM,Mercedes,1.0,2.0,19.0,Finished,63.0,63
2021,2,Emilia Romagna Grand Prix,4,NOR,McLaren,7.0,3.0,15.0,Finished,63.0,63
2021,2,Emilia Romagna Grand Prix,16,LEC,Ferrari,4.0,4.0,12.0,Finished,63.0,63
2021,2,Emilia Romagna Grand Prix,55,SAI,Ferrari,11.0,5.0,10.0,Finished,63.0,63
2021,2,Emilia Romagna Grand Prix,3,RIC,McLaren,6.0,6.0,8.0,Finished,63.0,63
2021,2,Emilia Romagna Grand Prix,10,GAS,AlphaTauri,5.0,7.0,6.0,Finished,63.0,63
2021,2,Emilia Romagna Grand Prix,18,STR,Aston Martin,10.0,8.0,4.0,Finished,63.0,63
2021,2,Emilia Romagna Grand Prix,31,OCO,Alpine,9.0,9.0,2.0,Finished,63.0,63
2021,2,Emilia Romagna Grand Prix,14,ALO,Alpine,15.0,10.0,1.0,Finished,63.0,63
2021,2,Emilia Romagna Grand Prix,11,PER,Red Bull Racing,2.0,11.0,0.0,Finished,63.0,63
2021,2,Emilia Romagna Grand Prix,22,TSU,AlphaTauri,20.0,12.0,0.0,Finished,63.0,63
2021,2,Emilia Romagna Grand Prix,7,RAI,Alfa Romeo Racing,16.0,13.0,0.0,Finished,63.0,63
2021,2,Emilia Romagna Grand Prix,99,GIO,Alfa Romeo Racing,17.0,14.0,0.0,+1 Lap,62.0,63
2021,2,Emilia Romagna Grand Prix,5,VET,Aston Martin,0.0,15.0,0.0,Gearbox,61.0,63
2021,2,Emilia Romagna Grand Prix,47,MSC,Haas F1 Team,18.0,16.0,0.0,+2 Laps,61.0,63
2021,2,Emilia Romagna Grand Prix,9,MAZ,Haas F1 Team,19.0,17.0,0.0,+2 Laps,61.0,63
2021,2,Emilia Romagna Grand Prix,77,BOT,Mercedes,8.0,18.0,0.0,Collision,31.0,63
2021,2,Emilia Romagna Grand Prix,63,RUS,Williams,12.0,19.0,0.0,Collision,31.0,63
2021,2,Emilia Romagna Grand Prix,6,LAT,Williams,14.0,20.0,0.0,Collision,1.0,63
2021,3,Portuguese Grand Prix,44,HAM,Mercedes,2.0,1.0,25.0,Finished,66.0,66
2021,3,Portuguese Grand Prix,33,VER,Red Bull Racing,3.0,2.0,18.0,Finished,66.0,66
2021,3,Portuguese Grand Prix,77,BOT,Mercedes,1.0,3.0,16.0,Finished,66.0,66
2021,3,Portuguese Grand Prix,11,PER,Red Bull Racing,4.0,4.0,12.0,Finished,66.0,66
2021,3,Portuguese Grand Prix,4,NOR,McLaren,7.0,5.0,10.0,Finished,66.0,66
2021,3,Portuguese Grand Prix,16,LEC,Ferrari,8.0,6.0,8.0,Finished,66.0,66
2021,3,Portuguese Grand Prix,31,OCO,Alpine,6.0,7.0,6.0,Finished,66.0,66
2021,3,Portuguese Grand Prix,14,ALO,Alpine,13.0,8.0,4.0,Finished,66.0,66
2021,3,Portuguese Grand Prix,3,RIC,McLaren,16.0,9.0,2.0,Finished,66.0,66
2021,3,Portuguese Grand Prix,10,GAS,AlphaTauri,9.0,10.0,1.0,Finished,66.0,66
2021,3,Portuguese Grand Prix,55,SAI,Ferrari,5.0,11.0,0.0,Finished,66.0,66
2021,3,Portuguese Grand Prix,99,GIO,Alfa Romeo Racing,12.0,12.0,0.0,+1 Lap,65.0,66
2021,3,Portuguese Grand Prix,5,VET,Aston Martin,10.0,13.0,0.0,+1 Lap,65.0,66
2021,3,Portuguese Grand Prix,18,STR,Aston Martin,17.0,14.0,0.0,+1 Lap,65.0,66
2021,3,Portuguese Grand Prix,22,TSU,AlphaTauri,14.0,15.0,0.0,+1 Lap,65.0,66
2021,3,Portuguese Grand Prix,63,RUS,Williams,11.0,16.0,0.0,+1 Lap,65.0,66
2021,3,Portuguese Grand Prix,47,MSC,Haas F1 Team,19.0,17.0,0.0,+2 Laps,64.0,66
2021,3,Portuguese Grand Prix,6,LAT,Williams,18.0,18.0,0.0,+2 Laps,64.0,66
2021,3,Portuguese Grand Prix,9,MAZ,Haas F1 Team,20.0,19.0,0.0,+2 Laps,64.0,66
2021,3,Portuguese Grand Prix,7,RAI,Alfa Romeo Racing,15.0,20.0,0.0,Collision damage,2.0,66
2021,4,Spanish Grand Prix,44,HAM,Mercedes,1.0,1.0,25.0,Finished,66.0,66
2021,4,Spanish Grand Prix,33,VER,Red Bull Racing,2.0,2.0,19.0,Finished,66.0,66
2021,4,Spanish Grand Prix,77,BOT,Mercedes,3.0,3.0,15.0,Finished,66.0,66
2021,4,Spanish Grand Prix,16,LEC,Ferrari,4.0,4.0,12.0,Finished,66.0,66
2021,4,Spanish Grand Prix,11,PER,Red Bull Racing,8.0,5.0,10.0,Finished,66.0,66
2021,4,Spanish Grand Prix,3,RIC,McLaren,7.0,6.0,8.0,Finished,66.0,66
2021,4,Spanish Grand Prix,55,SAI,Ferrari,6.0,7.0,6.0,Finished,66.0,66
2021,4,Spanish Grand Prix,4,NOR,McLaren,9.0,8.0,4.0,+1 Lap,65.0,66
2021,4,Spanish Grand Prix,31,OCO,Alpine,5.0,9.0,2.0,+1 Lap,65.0,66
2021,4,Spanish Grand Prix,10,GAS,AlphaTauri,12.0,10.0,1.0,+1 Lap,65.0,66
2021,4,Spanish Grand Prix,18,STR,Aston Martin,11.0,11.0,0.0,+1 Lap,65.0,66
2021,4,Spanish Grand Prix,7,RAI,Alfa Romeo Racing,17.0,12.0,0.0,+1 Lap,65.0,66
2021,4,Spanish Grand Prix,5,VET,Aston Martin,13.0,13.0,0.0,+1 Lap,65.0,66
2021,4,Spanish Grand Prix,63,RUS,Williams,15.0,14.0,0.0,+1 Lap,65.0,66
2021,4,Spanish Grand Prix,99,GIO,Alfa Romeo Racing,14.0,15.0,0.0,+1 Lap,65.0,66
2021,4,Spanish Grand Prix,6,LAT,Williams,19.0,16.0,0.0,+1 Lap,65.0,66
