Year,Round,EventName,DriverNumber,DriverAbbr,TeamName,GridPosition,Position,Points,Status,ClassifiedLaps,TotalRaceLaps
2019,1,Australian Grand Prix,77,BOT,Mercedes,2.0,1.0,26.0,Finished,58.0,58
2019,1,Australian Grand Prix,44,HAM,Mercedes,1.0,2.0,18.0,Finished,58.0,58
2019,1,Australian Grand Prix,33,VER,Red Bull Racing,4.0,3.0,15.0,Finished,58.0,58
2019,1,Australian Grand Prix,5,VET,Ferrari,3.0,4.0,12.0,Finished,58.0,58
2019,1,Australian Grand Prix,16,LEC,Ferrari,5.0,5.0,10.0,Finished,58.0,58
2019,1,Australian Grand Prix,20,MAG,Haas F1 Team,7.0,6.0,8.0,Finished,58.0,58
2019,1,Australian Grand Prix,27,HUL,Renault,11.0,7.0,6.0,+1 Lap,57.0,58
2019,1,Australian Grand Prix,7,RAI,Alfa Romeo Racing,9.0,8.0,4.0,+1 Lap,57.0,58
2019,1,Australian Grand Prix,18,STR,Racing Point,16.0,9.0,2.0,+1 Lap,57.0,58
2019,1,Australian Grand Prix,26,KVY,Toro Rosso,15.0,10.0,1.0,+1 Lap,57.0,58
2019,1,Australian Grand Prix,10,GAS,Red Bull Racing,17.0,11.0,0.0,+1 Lap,57.0,58
2019,1,Australian Grand Prix,4,NOR,McLaren,8.0,12.0,0.0,+1 Lap,57.0,58
2019,1,Australian Grand Prix,11,PER,Racing Point,10.0,13.0,0.0,+1 Lap,57.0,58
2019,1,Australian Grand Prix,23,ALB,Toro Rosso,13.0,14.0,0.0,+1 Lap,57.0,58
2019,1,Australian Grand Prix,99,GIO,Alfa Romeo Racing,14.0,15.0,0.0,+1 Lap,57.0,58
2019,1,Australian Grand Prix,63,RUS,Williams,19.0,16.0,0.0,+2 Laps,56.0,58
2019,1,Australian Grand Prix,88,KUB,Williams,20.0,17.0,0.0,+3 Laps,55.0,58
2019,1,Australian Grand Prix,8,GRO,Haas F1 Team,6.0,18.0,0.0,Wheel,30.0,58
2019,1,Australian Grand Prix,3,RIC,Renault,12.0,19.0,0.0,Damage,29.0,58
2019,1,Australian Grand Prix,55,SAI,McLaren,18.0,20.0,0.0,Engine,10.0,58
2019,2,Bahrain Grand Prix,44,HAM,Mercedes,3.0,1.0,25.0,Finished,57.0,57
2019,2,Bahrain Grand Prix,77,BOT,Mercedes,4.0,2.0,18.0,Finished,57.0,57
2019,2,Bahrain Grand Prix,16,LEC,Ferrari,1.0,3.0,16.0,Finished,57.0,57
2019,2,Bahrain Grand Prix,33,VER,Red Bull Racing,5.0,4.0,12.0,Finished,57.0,57
2019,2,Bahrain Grand Prix,5,VET,Ferrari,2.0,5.0,10.0,Finished,57.0,57
2019,2,Bahrain Grand Prix,4,NOR,McLaren,9.0,6.0,8.0,Finished,57.0,57
2019,2,Bahrain Grand Prix,7,RAI,Alfa Romeo Racing,8.0,7.0,6.0,Finished,57.0,57
2019,2,Bahrain Grand Prix,10,GAS,Red Bull Racing,13.0,8.0,4.0,Finished,57.0,57
2019,2,Bahrain Grand Prix,23,ALB,Toro Rosso,12.0,9.0,2.0,Finished,57.0,57
2019,2,Bahrain Grand Prix,11,PER,Racing Point,14.0,10.0,1.0,Finished,57.0,57
2019,2,Bahrain Grand Prix,99,GIO,Alfa Romeo Racing,16.0,11.0,0.0,Finished,57.0,57
2019,2,Bahrain Grand Prix,26,KVY,Toro Rosso,15.0,12.0,0.0,+1 Lap,56.0,57
2019,2,Bahrain Grand Prix,20,MAG,Haas F1 Team,6.0,13.0,0.0,+1 Lap,56.0,57
2019,2,Bahrain Grand Prix,18,STR,Racing Point,18.0,14.0,0.0,+1 Lap,56.0,57
2019,2,Bahrain Grand Prix,63,RUS,Williams,19.0,15.0,0.0,+1 Lap,56.0,57
