Year,Round,EventName,DriverNumber,DriverAbbr,TeamName,GridPosition,Position,Points,Status,ClassifiedLaps,TotalRaceLaps
2024,1,Bahrain Grand Prix,1,VER,Red Bull Racing,1.0,1.0,26.0,Finished,57.0,57
2024,1,Bahrain Grand Prix,11,PER,Red Bull Racing,5.0,2.0,18.0,Finished,57.0,57
2024,1,Bahrain Grand Prix,55,SAI,Ferrari,4.0,3.0,15.0,Finished,57.0,57
2024,1,Bahrain Grand Prix,16,LEC,Ferrari,2.0,4.0,12.0,Finished,57.0,57
2024,1,Bahrain Grand Prix,63,RUS,Mercedes,3.0,5.0,10.0,Finished,57.0,57
2024,1,Bahrain Grand Prix,4,NOR,McLaren,7.0,6.0,8.0,Finished,57.0,57
2024,1,Bahrain Grand Prix,44,HAM,Mercedes,9.0,7.0,6.0,Finished,57.0,57
2024,1,Bahrain Grand Prix,81,PIA,McLaren,8.0,8.0,4.0,Finished,57.0,57
2024,1,Bahrain Grand Prix,14,ALO,Aston Martin,6.0,9.0,2.0,Finished,57.0,57
2024,1,Bahrain Grand Prix,18,STR,Aston Martin,12.0,10.0,1.0,Finished,57.0,57
2024,1,Bahrain Grand Prix,24,ZHO,Kick Sauber,17.0,11.0,0.0,Lapped,56.0,57
2024,1,Bahrain Grand Prix,20,MAG,Haas F1 Team,15.0,12.0,0.0,Lapped,56.0,57
2024,1,Bahrain Grand Prix,3,RIC,RB,14.0,13.0,0.0,Lapped,56.0,57
2024,1,Bahrain Grand Prix,22,TSU,RB,11.0,14.0,0.0,Lapped,56.0,57
2024,1,Bahrain Grand Prix,23,ALB,Williams,13.0,15.0,0.0,Lapped,56.0,57
2024,1,Bahrain Grand Prix,27,HUL,Haas F1 Team,10.0,16.0,0.0,Lapped,56.0,57
2024,1,Bahrain Grand Prix,31,OCO,Alpine,19.0,17.0,0.0,Lapped,56.0,57
2024,1,Bahrain Grand Prix,10,GAS,Alpine,20.0,18.0,0.0,Lapped,56.0,57
2024,1,Bahrain Grand Prix,77,BOT,Kick Sauber,16.0,19.0,0.0,Lapped,56.0,57
2024,1,Bahrain Grand Prix,2,SAR,Williams,18.0,20.0,0.0,Lapped,55.0,57
2024,2,Saudi Arabian Grand Prix,1,VER,Red Bull Racing,1.0,1.0,25.0,Finished,50.0,50
2024,2,Saudi Arabian Grand Prix,11,PER,Red Bull Racing,3.0,2.0,18.0,Finished,50.0,50
2024,2,Saudi Arabian Grand Prix,16,LEC,Ferrari,2.0,3.0,16.0,Finished,50.0,50
2024,2,Saudi Arabian Grand Prix,81,PIA,McLaren,5.0,4.0,12.0,Finished,50.0,50
2024,2,Saudi Arabian Grand Prix,14,ALO,Aston Martin,4.0,5.0,10.0,Finished,50.0,50
2024,2,Saudi Arabian Grand Prix,63,RUS,Mercedes,7.0,6.0,8.0,Finished,50.0,50
2024,2,Saudi Arabian Grand Prix,38,BEA,Ferrari,11.0,7.0,6.0,Finished,50.0,50
2024,2,Saudi Arabian Grand Prix,4,NOR,McLaren,6.0,8.0,4.0,Finished,50.0,50
2024,2,Saudi Arabian Grand Prix,44,HAM,Mercedes,8.0,9.0,2.0,Finished,50.0,50
2024,2,Saudi Arabian Grand Prix,27,HUL,Haas F1 Team,15.0,10.0,1.0,Finished,50.0,50
2024,2,Saudi Arabian Grand Prix,23,ALB,Williams,12.0,11.0,0.0,Finished,50.0,50
2024,2,Saudi Arabian Grand Prix,20,MAG,Haas F1 Team,13.0,12.0,0.0,Finished,50.0,50
2024,2,Saudi Arabian Grand Prix,31,OCO,Alpine,17.0,13.0,0.0,Lapped,49.0,50
2024,2,Saudi Arabian Grand Prix,2,SAR,Williams,19.0,14.0,0.0,Lapped,49.0,50
2024,2,Saudi Arabian Grand Prix,22,TSU,RB,9.0,15.0,0.0,Lapped,49.0,50
2024,2,Saudi Arabian Grand Prix,3,RIC,RB,14.0,16.0,0.0,Lapped,49.0,50
2024,2,Saudi Arabian Grand Prix,77,BOT,Kick Sauber,16.0,17.0,0.0,Lapped,49.0,50
