Year,Round,EventName,IsRainy,RainyLapFraction,AirTemp_mean,TrackTemp_mean,Humidity_mean,WindSpeed_mean
2025,1,Australian Grand Prix,True,0.3258,15.708,18.942,78.421,3.475
2025,2,Chinese Grand Prix,False,0.0,27.216,35.817,18.234,2.188
2025,3,Japanese Grand Prix,False,0.0,14.43,20.514,76.371,1.202
2025,4,Bahrain Grand Prix,False,0.0,27.053,31.87,45.329,2.106
2025,5,Saudi Arabian Grand Prix,False,0.0,29.484,37.82,62.725,1.026
2025,6,Miami Grand Prix,True,0.0336,26.573,38.691,63.02,1.047
2025,7,Emilia Romagna Grand Prix,False,0.0,23.965,42.664,38.307,3.248
2025,8,Monaco Grand Prix,False,0.0,22.209,43.317,52.519,0.979
2025,9,Spanish Grand Prix,False,0.0,29.12,48.543,54.626,1.633
2025,10,Canadian Grand Prix,True,0.006,24.037,49.253,27.976,1.038
2025,11,Austrian Grand Prix,False,0.0,30.348,49.166,31.981,1.618
2025,12,British Grand Prix,True,0.1806,17.917,23.579,78.374,1.483
2025,13,Belgian Grand Prix,True,0.4574,17.03,24.09,84.444,1.446
2025,14,Hungarian Grand Prix,False,0.0,22.082,32.73,57.242,2.151
2025,15,Dutch Grand Prix,False,0.0,20.077,27.964,71.176,2.17
2025,16,Italian Grand Prix,False,0.0,26.761,43.288,42.604,1.96
2025,17,Azerbaijan Grand Prix,False,0.0,20.552,26.107,59.833,1.507
2025,18,Singapore Grand Prix,True,0.0373,29.072,33.852,74.36,1.111
2025,19,United States Grand Prix,False,0.0,28.268,45.045,22.532,2.082
2025,20,Mexico City Grand Prix,False,0.0,26.406,50.588,23.235,1.848
2025,21,São Paulo Grand Prix,False,0.0,17.348,30.693,70.572,1.51
2025,22,Las Vegas Grand Prix,False,0.0,16.734,19.53,37.766,1.437
2025,23,Qatar Grand Prix,False,0.0,22.599,28.16,69.047,1.251
2025,24,Abu Dhabi Grand Prix,False,0.0,26.674,31.062,60.442,1.573
