Year,Round,EventName,IsRainy,RainyLapFraction,AirTemp_mean,TrackTemp_mean,Humidity_mean,WindSpeed_mean
2022,1,Bahrain Grand Prix,False,0.0,23.618,28.61,29.491,0.305
2022,2,Saudi Arabian Grand Prix,False,0.0,25.42,28.409,59.664,2.359
2022,3,Australian Grand Prix,False,0.0,26.697,37.408,43.654,1.813
2022,4,Emilia Romagna Grand Prix,False,0.0,12.899,17.419,83.171,1.482
2022,5,Miami Grand Prix,True,0.0556,30.617,42.82,58.858,2.267
2022,6,Spanish Grand Prix,False,0.0,36.566,48.957,7.11,3.488
2022,7,Monaco Grand Prix,True,0.4367,22.275,31.038,75.665,0.99
2022,8,Azerbaijan Grand Prix,False,0.0,25.435,47.15,59.491,1.529
2022,9,Canadian Grand Prix,False,0.0,20.763,41.261,28.926,3.552
2022,10,British Grand Prix,True,0.0443,18.253,30.026,59.749,1.456
2022,11,Austrian Grand Prix,False,0.0,20.256,30.747,35.138,1.255
2022,12,French Grand Prix,False,0.0,30.165,54.462,47.734,1.946
2022,13,Hungarian Grand Prix,True,0.2754,18.56,26.721,69.317,4.034
2022,14,Belgian Grand Prix,False,0.0,21.787,36.084,40.519,1.519
2022,15,Dutch Grand Prix,False,0.0,22.73,33.446,75.38,1.062
2022,16,Italian Grand Prix,False,0.0,27.735,43.139,33.15,1.361
2022,17,Singapore Grand Prix,True,0.1804,26.233,28.973,87.447,0.93
2022,18,Japanese Grand Prix,True,0.9804,16.718,19.931,86.212,2.041
2022,19,United States Grand Prix,False,0.0,29.285,35.524,49.624,5.487
2022,20,Mexico City Grand Prix,False,0.0,24.313,41.689,34.442,1.337
2022,21,São Paulo Grand Prix,False,0.0,23.011,46.049,76.078,1.444
2022,22,Abu Dhabi Grand Prix,False,0.0,28.575,34.31,61.684,2.608
2023,1,Bahrain Grand Prix,False,0.0,27.432,31.012,21.497,0.683
2023,2,Saudi Arabian Grand Prix,False,0.0,26.092,31.793,57.791,1.772
2023,3,Australian Grand Prix,False,0.0,17.45,30.14,54.158,1.127
2023,4,Azerbaijan Grand Prix,False,0.0,24.861,41.21,49.225,1.083
2023,5,Miami Grand Prix,False,0.0,27.117,36.689,59.426,3.97
2023,6,Monaco Grand Prix,True,0.1477,25.066,39.256,45.864,1.006
2023,7,Spanish Grand Prix,False,0.0,22.674,33.839,63.078,1.869
2023,8,Canadian Grand Prix,False,0.0,18.53,30.593,63.901,1.942
2023,9,Austrian Grand Prix,True,0.0196,22.398,32.054,52.046,1.097
2023,10,British Grand Prix,False,0.0,21.474,30.941,56.185,3.024
2023,11,Hungarian Grand Prix,False,0.0,28.809,48.579,32.805,1.441
2023,12,Belgian Grand Prix,True,0.0733,17.873,28.241,61.927,1.595
2023,13,Dutch Grand Prix,True,0.2297,16.792,24.941,70.775,2.822
2023,14,Italian Grand Prix,False,0.0,29.33,42.928,42.321,1.14
2023,15,Singapore Grand Prix,False,0.0,29.844,36.422,72.028,1.416
2023,16,Japanese Grand Prix,False,0.0,27.289,42.07,42.316,1.83
2023,17,Qatar Grand Prix,False,0.0,31.463,36.932,73.157,0.89
2023,18,United States Grand Prix,False,0.0,29.96,40.629,41.911,3.314
2023,19,Mexico City Grand Prix,False,0.0,25.547,45.639,23.553,1.49
2023,20,São Paulo Grand Prix,True,0.0055,20.46,46.776,58.175,1.309
2023,21,Las Vegas Grand Prix,False,0.0,18.05,17.994,47.361,2.301
2023,22,Abu Dhabi Grand Prix,False,0.0,26.963,33.461,51.0,1.795
2024,1,Bahrain Grand Prix,False,0.0,18.227,23.653,48.822,0.786
2024,2,Saudi Arabian Grand Prix,False,0.0,25.528,31.593,62.336,1.303
2024,3,Australian Grand Prix,False,0.0,20.622,38.402,44.451,0.953
2024,4,Japanese Grand Prix,False,0.0,21.691,37.501,43.431,2.241
2024,5,Chinese Grand Prix,False,0.0,18.639,29.793,66.061,1.68
2024,6,Miami Grand Prix,False,0.0,28.522,44.664,59.007,3.081
2024,7,Emilia Romagna Grand Prix,False,0.0,25.114,42.024,48.427,2.141
2024,8,Monaco Grand Prix,False,0.0,21.596,46.318,63.99,0.98
2024,9,Canadian Grand Prix,True,0.2743,17.797,24.57,73.381,1.17
2024,10,Spanish Grand Prix,True,0.0065,24.132,41.096,63.442,2.123
2024,11,Austrian Grand Prix,True,0.007,29.426,46.421,35.007,1.668
2024,12,British Grand Prix,True,0.3469,15.771,27.67,67.333,1.348
2024,13,Hungarian Grand Prix,False,0.0,28.824,44.916,46.923,1.25
2024,14,Belgian Grand Prix,False,0.0,21.328,42.267,49.584,1.683
2024,15,Dutch Grand Prix,False,0.0,19.006,30.806,60.961,4.569
2024,16,Italian Grand Prix,False,0.0,33.102,49.311,32.286,1.519
2024,17,Azerbaijan Grand Prix,False,0.0,26.706,44.349,38.02,1.551
2024,18,Singapore Grand Prix,False,0.0,30.786,36.446,74.65,0.955
2024,19,United States Grand Prix,False,0.0,28.121,46.602,35.535,1.5
2024,20,Mexico City Grand Prix,False,0.0,19.889,35.603,51.05,2.151
2024,21,São Paulo Grand Prix,True,0.5821,21.663,25.77,85.259,0.736
2024,22,Las Vegas Grand Prix,False,0.0,17.825,17.724,47.86,2.899
2024,23,Qatar Grand Prix,False,0.0,18.926,22.774,57.252,1.658
2024,24,Abu Dhabi Grand Prix,False,0.0,26.768,31.805,51.446,1.901
2025,1,Australian Grand Prix,True,0.3258,15.708,18.942,78.421,3.475
2025,2,Chinese Grand Prix,False,0.0,27.216,35.817,18.234,2.188
2025,3,Japanese Grand Prix,False,0.0,14.43,20.514,76.371,1.202
2025,4,Bahrain Grand Prix,False,0.0,27.053,31.87,45.329,2.106
2025,5,Saudi Arabian Grand Prix,False,0.0,29.484,37.82,62.725,1.026
2025,6,Miami Grand Prix,True,0.0336,26.573,38.691,63.02,1.047
2025,7,Emilia Romagna Grand Prix,False,0.0,23.965,42.664,38.307,3.248
2025,8,Monaco Grand Prix,False,0.0,22.209,43.317,52.519,0.979
2025,9,Spanish Grand Prix,False,0.0,29.12,48.543,54.626,1.633
2025,10,Canadian Grand Prix,True,0.006,24.037,49.253,27.976,1.038
2025,11,Austrian Grand Prix,False,0.0,30.348,49.166,31.981,1.618
2025,12,British Grand Prix,True,0.1806,17.917,23.579,78.374,1.483
