Year,Round,EventName,DriverNumber,DriverAbbr,TeamName,GridPosition,Position,Points,Status,ClassifiedLaps,TotalRaceLaps
2018,3,Chinese Grand Prix,35,SIR,Williams,16.0,15.0,0.0,Finished,56.0,56
2018,3,Chinese Grand Prix,9,ERI,Sauber,20.0,16.0,0.0,Finished,56.0,56
2018,3,Chinese Grand Prix,8,GRO,Haas F1 Team,10.0,17.0,0.0,Finished,56.0,56
2018,3,Chinese Grand Prix,10,GAS,Toro Rosso,17.0,18.0,0.0,Finished,56.0,56
2018,3,Chinese Grand Prix,16,LEC,Sauber,19.0,19.0,0.0,Finished,56.0,56
2018,3,Chinese Grand Prix,28,HAR,Toro Rosso,15.0,20.0,0.0,Collision damage,51.0,56
2018,4,Azerbaijan Grand Prix,44,HAM,Mercedes,2.0,1.0,25.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,7,RAI,Ferrari,6.0,2.0,18.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,11,PER,Force India,8.0,3.0,15.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,5,VET,Ferrari,1.0,4.0,12.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,55,SAI,Renault,9.0,5.0,10.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,16,LEC,Sauber,13.0,6.0,8.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,14,ALO,McLaren,12.0,7.0,6.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,18,STR,Williams,10.0,8.0,4.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,2,VAN,McLaren,16.0,9.0,2.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,28,HAR,Toro Rosso,19.0,10.0,1.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,9,ERI,Sauber,18.0,11.0,0.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,10,GAS,Toro Rosso,17.0,12.0,0.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,20,MAG,Haas F1 Team,15.0,13.0,0.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,77,BOT,Mercedes,3.0,14.0,0.0,Puncture,49.0,51
2018,4,Azerbaijan Grand Prix,8,GRO,Haas F1 Team,20.0,15.0,0.0,Accident,43.0,51
2018,4,Azerbaijan Grand Prix,33,VER,Red Bull Racing,5.0,16.0,0.0,Collision,40.0,51
2018,4,Azerbaijan Grand Prix,3,RIC,Red Bull Racing,4.0,17.0,0.0,Collision,40.0,51
2018,4,Azerbaijan Grand Prix,27,HUL,Renault,14.0,18.0,0.0,Accident,11.0,51
2018,4,Azerbaijan Grand Prix,31,OCO,Force India,7.0,19.0,0.0,Collision,1.0,51
2018,4,Azerbaijan Grand Prix,35,SIR,Williams,11.0,20.0,0.0,Collision,1.0,51
2018,5,Spanish Grand Prix,44,HAM,Mercedes,1.0,1.0,25.0,Finished,66.0,66
2018,5,Spanish Grand Prix,77,BOT,Mercedes,2.0,2.0,18.0,Finished,66.0,66
2018,5,Spanish Grand Prix,33,VER,Red Bull Racing,5.0,3.0,15.0,Finished,66.0,66
2018,5,Spanish Grand Prix,5,VET,Ferrari,3.0,4.0,12.0,Finished,66.0,66
2018,5,Spanish Grand Prix,3,RIC,Red Bull Racing,6.0,5.0,10.0,Finished,66.0,66
2018,5,Spanish Grand Prix,20,MAG,Haas F1 Team,7.0,6.0,8.0,+1 Lap,65.0,66
2018,5,Spanish Grand Prix,55,SAI,Renault,9.0,7.0,6.0,+1 Lap,65.0,66
2018,5,Spanish Grand Prix,14,ALO,McLaren,8.0,8.0,4.0,+1 Lap,65.0,66
2018,5,Spanish Grand Prix,11,PER,Force India,15.0,9.0,2.0,+2 Laps,64.0,66
2018,5,Spanish Grand Prix,16,LEC,Sauber,14.0,10.0,1.0,+2 Laps,64.0,66
2018,5,Spanish Grand Prix,18,STR,Williams,18.0,11.0,0.0,+2 Laps,64.0,66
2018,5,Spanish Grand Prix,28,HAR,Toro Rosso,20.0,12.0,0.0,+2 Laps,64.0,66
2018,5,Spanish Grand Prix,9,ERI,Sauber,17.0,13.0,0.0,+2 Laps,64.0,66
2018,5,Spanish Grand Prix,35,SIR,Williams,19.0,14.0,0.0,+3 Laps,63.0,66
2018,5,Spanish Grand Prix,2,VAN,McLaren,11.0,15.0,0.0,Gearbox,46.0,66
2018,5,Spanish Grand Prix,31,OCO,Force India,13.0,16.0,0.0,Oil leak,39.0,66
2018,5,Spanish Grand Prix,7,RAI,Ferrari,4.0,17.0,0.0,Turbo,25.0,66
2018,5,Spanish Grand Prix,8,GRO,Haas F1 Team,10.0,18.0,0.0,Collision,1.0,66
2018,5,Spanish Grand Prix,10,GAS,Toro Rosso,12.0,19.0,0.0,Collision,1.0,66
2018,5,Spanish Grand Prix,27,HUL,Renault,16.0,20.0,0.0,Collision,1.0,66
2018,6,Monaco Grand Prix,3,RIC,Red Bull Racing,1.0,1.0,25.0,Finished,78.0,78
2018,6,Monaco Grand Prix,5,VET,Ferrari,2.0,2.0,18.0,Finished,78.0,78
2018,6,Monaco Grand Prix,44,HAM,Mercedes,3.0,3.0,15.0,Finished,78.0,78
2018,6,Monaco Grand Prix,7,RAI,Ferrari,4.0,4.0,12.0,Finished,78.0,78
2018,6,Monaco Grand Prix,77,BOT,Mercedes,5.0,5.0,10.0,Finished,78.0,78
2018,6,Monaco Grand Prix,31,OCO,Force India,6.0,6.0,8.0,Finished,78.0,78
2018,6,Monaco Grand Prix,10,GAS,Toro Rosso,10.0,7.0,6.0,Finished,78.0,78
2018,6,Monaco Grand Prix,27,HUL,Renault,11.0,8.0,4.0,Finished,78.0,78
2018,6,Monaco Grand Prix,33,VER,Red Bull Racing,20.0,9.0,2.0,Finished,78.0,78
2018,6,Monaco Grand Prix,55,SAI,Renault,8.0,10.0,1.0,Finished,78.0,78
2018,6,Monaco Grand Prix,9,ERI,Sauber,16.0,11.0,0.0,Finished,78.0,78
2018,6,Monaco Grand Prix,11,PER,Force India,9.0,12.0,0.0,Finished,78.0,78
2018,6,Monaco Grand Prix,20,MAG,Haas F1 Team,19.0,13.0,0.0,Finished,78.0,78
2018,6,Monaco Grand Prix,2,VAN,McLaren,12.0,14.0,0.0,+1 Lap,77.0,78
2018,6,Monaco Grand Prix,8,GRO,Haas F1 Team,18.0,15.0,0.0,+1 Lap,77.0,78
2018,6,Monaco Grand Prix,35,SIR,Williams,13.0,16.0,0.0,+1 Lap,77.0,78
2018,6,Monaco Grand Prix,18,STR,Williams,17.0,17.0,0.0,+2 Laps,76.0,78
2018,6,Monaco Grand Prix,16,LEC,Sauber,14.0,18.0,0.0,Collision,71.0,78
2018,6,Monaco Grand Prix,28,HAR,Toro Rosso,15.0,19.0,0.0,Collision,71.0,78
2018,6,Monaco Grand Prix,14,ALO,McLaren,7.0,20.0,0.0,Gearbox,53.0,78
2018,7,Canadian Grand Prix,5,VET,Ferrari,1.0,1.0,25.0,Finished,70.0,70
2018,7,Canadian Grand Prix,77,BOT,Mercedes,2.0,2.0,18.0,Finished,70.0,70
2018,7,Canadian Grand Prix,33,VER,Red Bull Racing,3.0,3.0,15.0,Finished,70.0,70
2018,7,Canadian Grand Prix,3,RIC,Red Bull Racing,6.0,4.0,12.0,Finished,70.0,70
2018,7,Canadian Grand Prix,44,HAM,Mercedes,4.0,5.0,10.0,Finished,70.0,70
2018,7,Canadian Grand Prix,7,RAI,Ferrari,5.0,6.0,8.0,Finished,70.0,70
2018,7,Canadian Grand Prix,27,HUL,Renault,7.0,7.0,6.0,+1 Lap,69.0,70
2018,7,Canadian Grand Prix,55,SAI,Renault,9.0,8.0,4.0,+1 Lap,69.0,70
2018,7,Canadian Grand Prix,31,OCO,Force India,8.0,9.0,2.0,+1 Lap,69.0,70
2018,7,Canadian Grand Prix,16,LEC,Sauber,13.0,10.0,1.0,+1 Lap,69.0,70
2018,7,Canadian Grand Prix,10,GAS,Toro Rosso,16.0,11.0,0.0,+1 Lap,69.0,70
2018,7,Canadian Grand Prix,8,GRO,Haas F1 Team,20.0,12.0,0.0,+1 Lap,69.0,70
2018,7,Canadian Grand Prix,20,MAG,Haas F1 Team,11.0,13.0,0.0,+1 Lap,69.0,70
2018,7,Canadian Grand Prix,11,PER,Force India,10.0,14.0,0.0,+1 Lap,69.0,70
2018,7,Canadian Grand Prix,9,ERI,Sauber,19.0,15.0,0.0,+2 Laps,68.0,70
2018,7,Canadian Grand Prix,2,VAN,McLaren,15.0,16.0,0.0,+2 Laps,68.0,70
2018,7,Canadian Grand Prix,35,SIR,Williams,18.0,17.0,0.0,+2 Laps,68.0,70
2018,7,Canadian Grand Prix,14,ALO,McLaren,14.0,18.0,0.0,Exhaust,41.0,70
2018,7,Canadian Grand Prix,28,HAR,Toro Rosso,12.0,19.0,0.0,Collision,1.0,70
2018,7,Canadian Grand Prix,18,STR,Williams,17.0,20.0,0.0,Collision,1.0,70
2018,8,French Grand Prix,44,HAM,Mercedes,1.0,1.0,25.0,Finished,53.0,53
2018,8,French Grand Prix,33,VER,Red Bull Racing,4.0,2.0,18.0,Finished,53.0,53
2018,8,French Grand Prix,7,RAI,Ferrari,6.0,3.0,15.0,Finished,53.0,53
2018,8,French Grand Prix,3,RIC,Red Bull Racing,5.0,4.0,12.0,Finished,53.0,53
2018,8,French Grand Prix,5,VET,Ferrari,3.0,5.0,10.0,Finished,53.0,53
2018,8,French Grand Prix,20,MAG,Haas F1 Team,9.0,6.0,8.0,Finished,53.0,53
2018,8,French Grand Prix,77,BOT,Mercedes,2.0,7.0,6.0,Finished,53.0,53
2018,8,French Grand Prix,55,SAI,Renault,7.0,8.0,4.0,Finished,53.0,53
2018,8,French Grand Prix,27,HUL,Renault,12.0,9.0,2.0,Finished,53.0,53
2018,8,French Grand Prix,16,LEC,Sauber,8.0,10.0,1.0,Finished,53.0,53
2018,8,French Grand Prix,8,GRO,Haas F1 Team,10.0,11.0,0.0,+1 Lap,52.0,53
2018,8,French Grand Prix,2,VAN,McLaren,17.0,12.0,0.0,+1 Lap,52.0,53
2018,8,French Grand Prix,9,ERI,Sauber,15.0,13.0,0.0,+1 Lap,52.0,53
2018,8,French Grand Prix,28,HAR,Toro Rosso,20.0,14.0,0.0,+1 Lap,52.0,53
2018,8,French Grand Prix,35,SIR,Williams,18.0,15.0,0.0,+1 Lap,52.0,53
2018,8,French Grand Prix,14,ALO,McLaren,16.0,16.0,0.0,Wheel,51.0,53
2018,8,French Grand Prix,18,STR,Williams,19.0,17.0,0.0,Puncture,49.0,53
2018,8,French Grand Prix,11,PER,Force India,13.0,18.0,0.0,Engine,28.0,53
2018,8,French Grand Prix,31,OCO,Force India,11.0,19.0,0.0,Collision,1.0,53
2018,8,French Grand Prix,10,GAS,Toro Rosso,14.0,20.0,0.0,Collision,1.0,53
2018,9,Austrian Grand Prix,33,VER,Red Bull Racing,4.0,1.0,25.0,Finished,71.0,71
2018,9,Austrian Grand Prix,7,RAI,Ferrari,3.0,2.0,18.0,Finished,71.0,71
2018,9,Austrian Grand Prix,5,VET,Ferrari,6.0,3.0,15.0,Finished,71.0,71
2018,9,Austrian Grand Prix,8,GRO,Haas F1 Team,5.0,4.0,12.0,+1 Lap,70.0,71
2018,9,Austrian Grand Prix,20,MAG,Haas F1 Team,8.0,5.0,10.0,+1 Lap,70.0,71
2018,9,Austrian Grand Prix,31,OCO,Force India,11.0,6.0,8.0,+1 Lap,70.0,71
2018,9,Austrian Grand Prix,11,PER,Force India,16.0,7.0,6.0,+1 Lap,70.0,71
