Year,Round,EventName,LapNumber,TrackStatus
2018,2,Bahrain Grand Prix,41.0,1.0
2018,2,Bahrain Grand Prix,42.0,1.0
2018,2,Bahrain Grand Prix,43.0,1.0
2018,2,Bahrain Grand Prix,44.0,1.0
2018,2,Bahrain Grand Prix,45.0,1.0
2018,2,Bahrain Grand Prix,46.0,1.0
2018,2,Bahrain Grand Prix,47.0,1.0
2018,2,Bahrain Grand Prix,48.0,1.0
2018,2,Bahrain Grand Prix,49.0,1.0
2018,2,Bahrain Grand Prix,50.0,1.0
2018,2,Bahrain Grand Prix,51.0,1.0
2018,2,Bahrain Grand Prix,52.0,1.0
2018,2,Bahrain Grand Prix,53.0,1.0
2018,2,Bahrain Grand Prix,54.0,1.0
2018,2,Bahrain Grand Prix,55.0,1.0
2018,2,Bahrain Grand Prix,56.0,1.0
2018,2,Bahrain Grand Prix,57.0,1.0
2018,2,Bahrain Grand Prix,11.0,1.0
2018,2,Bahrain Grand Prix,26.0,12.0
2018,2,Bahrain Grand Prix,27.0,21.0
2018,2,Bahrain Grand Prix,39.0,12.0
2018,2,Bahrain Grand Prix,40.0,1.0
2018,2,Bahrain Grand Prix,6.0,1.0
2018,2,Bahrain Grand Prix,40.0,21.0
2018,2,Bahrain Grand Prix,27.0,1.0
2018,2,Bahrain Grand Prix,3.0,67.0
2018,2,Bahrain Grand Prix,4.0,712.0
2018,2,Bahrain Grand Prix,10.0,1.0
2018,2,Bahrain Grand Prix,11.0,12.0
2018,2,Bahrain Grand Prix,41.0,21.0
2018,2,Bahrain Grand Prix,6.0,12.0
2018,3,Chinese Grand Prix,1.0,
2018,3,Chinese Grand Prix,2.0,
2018,3,Chinese Grand Prix,3.0,
2018,3,Chinese Grand Prix,4.0,
2018,3,Chinese Grand Prix,5.0,
2018,3,Chinese Grand Prix,6.0,
2018,3,Chinese Grand Prix,7.0,
2018,3,Chinese Grand Prix,8.0,
2018,3,Chinese Grand Prix,9.0,
2018,3,Chinese Grand Prix,10.0,
2018,3,Chinese Grand Prix,11.0,
2018,3,Chinese Grand Prix,12.0,
2018,3,Chinese Grand Prix,13.0,
2018,3,Chinese Grand Prix,14.0,
2018,3,Chinese Grand Prix,15.0,
2018,3,Chinese Grand Prix,16.0,
2018,3,Chinese Grand Prix,17.0,
2018,3,Chinese Grand Prix,18.0,
2018,3,Chinese Grand Prix,19.0,
2018,3,Chinese Grand Prix,20.0,
2018,3,Chinese Grand Prix,21.0,
2018,3,Chinese Grand Prix,22.0,
2018,3,Chinese Grand Prix,23.0,
2018,3,Chinese Grand Prix,24.0,
2018,3,Chinese Grand Prix,25.0,
2018,3,Chinese Grand Prix,26.0,
2018,3,Chinese Grand Prix,27.0,
2018,3,Chinese Grand Prix,28.0,
2018,3,Chinese Grand Prix,29.0,
2018,3,Chinese Grand Prix,30.0,21.0
2018,3,Chinese Grand Prix,31.0,14.0
2018,3,Chinese Grand Prix,32.0,4.0
2018,3,Chinese Grand Prix,33.0,4.0
2018,3,Chinese Grand Prix,34.0,4.0
2018,3,Chinese Grand Prix,35.0,41.0
2018,3,Chinese Grand Prix,36.0,1.0
2018,3,Chinese Grand Prix,37.0,1.0
2018,3,Chinese Grand Prix,38.0,1.0
2018,3,Chinese Grand Prix,39.0,1.0
2018,3,Chinese Grand Prix,40.0,1.0
2018,3,Chinese Grand Prix,41.0,1.0
2018,3,Chinese Grand Prix,42.0,1.0
2018,3,Chinese Grand Prix,43.0,12.0
2018,3,Chinese Grand Prix,44.0,1.0
2018,3,Chinese Grand Prix,45.0,1.0
2018,3,Chinese Grand Prix,46.0,1.0
2018,3,Chinese Grand Prix,47.0,1.0
2018,3,Chinese Grand Prix,48.0,1.0
2018,3,Chinese Grand Prix,49.0,1.0
2018,3,Chinese Grand Prix,50.0,1.0
2018,3,Chinese Grand Prix,51.0,1.0
2018,3,Chinese Grand Prix,52.0,1.0
2018,3,Chinese Grand Prix,53.0,1.0
2018,3,Chinese Grand Prix,54.0,1.0
2018,3,Chinese Grand Prix,55.0,1.0
2018,3,Chinese Grand Prix,56.0,1.0
2018,3,Chinese Grand Prix,29.0,2.0
2018,3,Chinese Grand Prix,29.0,21.0
2018,3,Chinese Grand Prix,30.0,1.0
