Year,Round,EventName,LapNumber,Overtaker,OvertakerNumber,OvertakerTeam,PositionBefore,PositionAfter,Overtaken,OvertakenNumber,OvertakenTeam,SessionTime,SameLapWindowStart,SameLapWindowEnd,PitInfluenceFlag,DNFInfluenceFlag,IsTeammate,Is_DRS_Active,RelativeDistance,Throttle_Drop_Index,Brake_Pressure_Delta,TeamOrderConfidence,Vmin_Deviation,OffTrack_Flag,Lockup_Flag,LocalYellowFlag,OffTrackConfidence
2020,14,Turkish Grand Prix,12,BOT,77,Mercedes,13,12,RAI,7,Alfa Romeo Racing,0 days 00:56:23.278000,0 days 00:54:28.077000,0 days 00:56:23.278000,False,False,False,False,0.4900865722703226,0.0,459.99999999999994,0.4,5.26,False,True,True,0.7
2020,14,Turkish Grand Prix,12,RUS,63,Williams,12,11,RAI,7,Alfa Romeo Racing,0 days 00:56:23.278000,0 days 00:54:28.077000,0 days 00:56:23.278000,False,False,False,False,0.4837628168219238,0.0,234.0,0.4,5.26,False,True,True,0.7
2020,14,Turkish Grand Prix,13,LEC,16,Ferrari,10,9,MAG,20,Haas F1 Team,0 days 00:58:13.250000,0 days 00:56:23.278000,0 days 00:58:13.250000,False,False,False,False,0.5210792623932166,4.0,376.0,0.64,5.56,False,True,True,0.7
2020,14,Turkish Grand Prix,21,KVY,26,AlphaTauri,17,16,BOT,77,Mercedes,0 days 01:12:45.471000,0 days 01:11:01.222000,0 days 01:12:45.471000,False,False,False,False,0.48637904912275465,4.166666666666664,,0.25,6.35,False,True,True,0.7
2020,14,Turkish Grand Prix,21,OCO,31,Renault,16,15,BOT,77,Mercedes,0 days 01:12:45.471000,0 days 01:11:01.222000,0 days 01:12:45.471000,False,False,False,False,0.4880131701045143,4.0,,0.24,6.35,False,True,True,0.7
