Year,Round,EventName,LapNumber,Overtaker,OvertakerNumber,OvertakerTeam,PositionBefore,PositionAfter,Overtaken,OvertakenNumber,OvertakenTeam,SessionTime,SameLapWindowStart,SameLapWindowEnd,PitInfluenceFlag,DNFInfluenceFlag,IsTeammate,Is_DRS_Active,RelativeDistance,Throttle_Drop_Index,Brake_Pressure_Delta,TeamOrderConfidence,Vmin_Deviation,OffTrack_Flag,Lockup_Flag,LocalYellowFlag,OffTrackConfidence
2023,6,Monaco Grand Prix,68,DEV,21,AlphaTauri,13,12,TSU,22,AlphaTauri,0 days 02:36:14.816000,0 days 02:34:41.157000,0 days 02:36:14.816000,False,False,True,False,0.4405358573094206,16.0,381.0,1.0,,False,True,True,0.3
2023,11,Hungarian Grand Prix,25,HAM,44,Mercedes,6,4,RUS,63,Mercedes,0 days 01:37:38.305000,0 days 01:36:14.528000,0 days 01:37:38.305000,False,False,True,False,0.5382041343978222,2.3333367466637513,300.0,0.54,,False,True,False,0.2
2023,15,Singapore Grand Prix,36,HUL,27,Haas F1 Team,14,13,MAG,20,Haas F1 Team,0 days 02:05:26.782000,0 days 02:03:47.238000,0 days 02:05:26.782000,False,False,True,False,0.5112700151621179,13.9999936,,0.6,,False,True,False,0.2
2023,15,Singapore Grand Prix,60,MAG,20,Haas F1 Team,12,11,HUL,27,Haas F1 Team,0 days 02:46:02.563000,0 days 02:44:22.521000,0 days 02:46:02.563000,False,False,True,False,0.5048455263220946,29.16666552888792,380.0,1.0,,False,False,False,
2023,16,Japanese Grand Prix,27,NOR,4,McLaren,3,2,PIA,81,McLaren,0 days 01:51:46.887000,0 days 01:50:09.022000,0 days 01:51:46.887000,False,False,True,True,0.5023172154336187,2.0,160.00000000000003,0.52,,False,False,False,
2023,19,Mexico City Grand Prix,31,GAS,10,Alpine,15,13,OCO,31,Alpine,0 days 01:46:04.682000,0 days 01:44:36.758000,0 days 01:46:04.682000,False,False,True,False,0.5348714257440621,2.125,439.99999999999994,0.528,,False,False,False,
2023,19,Mexico City Grand Prix,56,NOR,4,McLaren,8,7,PIA,81,McLaren,0 days 02:44:14.396000,0 days 02:42:51.981000,0 days 02:44:14.396000,False,False,True,True,0.5336823832321307,2.5,361.0,0.55,,False,False,False,
