Year,Round,EventName,LapNumber,Overtaker,OvertakerNumber,OvertakerTeam,PositionBefore,PositionAfter,Overtaken,OvertakenNumber,OvertakenTeam,SessionTime,SameLapWindowStart,SameLapWindowEnd,PitInfluenceFlag,DNFInfluenceFlag,IsTeammate,Is_DRS_Active,RelativeDistance,Throttle_Drop_Index,Brake_Pressure_Delta,TeamOrderConfidence,Vmin_Deviation,OffTrack_Flag,Lockup_Flag,LocalYellowFlag,OffTrackConfidence
2019,11,German Grand Prix,18,NOR,4,McLaren,14,13,SAI,55,McLaren,0 days 01:09:13.944000,0 days 01:07:42.441000,0 days 01:09:13.944000,False,False,True,False,0.5570280086869774,19.25,250.00000000000003,1.0,-100.0,False,True,True,0.3
2019,12,Hungarian Grand Prix,18,KVY,26,Toro Rosso,13,11,ALB,23,Toro Rosso,0 days 00:57:23.769000,0 days 00:56:01.935000,0 days 00:57:23.769000,False,False,True,False,0.5407255102518068,2.6666666666666687,207.0,0.56,,False,True,False,0.2
2019,12,Hungarian Grand Prix,68,VET,5,Ferrari,4,3,LEC,16,Ferrari,0 days 02:05:09.927000,0 days 02:03:49.354000,0 days 02:05:09.927000,False,False,True,False,0.5421343081075813,4.0,285.00000000000006,0.64,,False,True,False,0.2
