Year,Round,EventName,LapNumber,Overtaker,OvertakerNumber,OvertakerTeam,PositionBefore,PositionAfter,Overtaken,OvertakenNumber,OvertakenTeam,SessionTime,SameLapWindowStart,SameLapWindowEnd,PitInfluenceFlag,DNFInfluenceFlag,IsTeammate,Is_DRS_Active,RelativeDistance,Throttle_Drop_Index,Brake_Pressure_Delta,TeamOrderConfidence,Vmin_Deviation,OffTrack_Flag,Lockup_Flag,LocalYellowFlag,OffTrackConfidence
2026,1,Australian Grand Prix,2,BEA,87,Haas F1 Team,14,12,ALB,23,Williams,0 days 01:05:17.680000,0 days 01:03:51.908000,0 days 01:05:17.680000,False,False,False,False,0.5127311577522488,0.0,20.0,0.053,,False,True,False,0.2
2026,1,Australian Grand Prix,2,BEA,87,Haas F1 Team,14,12,SAI,55,Williams,0 days 01:05:17.680000,0 days 01:03:51.908000,0 days 01:05:17.680000,False,False,False,False,0.5127311577522488,0.0,0.0,,,False,True,False,0.2
2026,1,Australian Grand Prix,2,COL,43,Alpine,17,16,BOT,77,Cadillac,0 days 01:05:17.680000,0 days 01:03:51.908000,0 days 01:05:17.680000,False,False,False,False,0.5060399158064117,0.0,379.0,0.4,,False,True,False,0.2
2026,1,Australian Grand Prix,2,LAW,30,Racing Bulls,18,17,BOT,77,Cadillac,0 days 01:05:17.680000,0 days 01:03:51.908000,0 days 01:05:17.680000,False,False,False,False,0.5081182875303886,0.0,0.0,,,False,True,False,0.2
2026,1,Australian Grand Prix,2,RUS,63,Mercedes,2,1,LEC,16,Ferrari,0 days 01:05:17.680000,0 days 01:03:51.908000,0 days 01:05:17.680000,False,False,False,False,0.514019646562498,0.0,203.0,0.4,,False,True,False,0.2
2026,1,Australian Grand Prix,2,VER,3,Red Bull Racing,16,15,BOT,77,Cadillac,0 days 01:05:17.680000,0 days 01:03:51.908000,0 days 01:05:17.680000,False,False,False,False,0.5091377915045237,0.0,219.0,0.4,,False,True,False,0.2
2026,1,Australian Grand Prix,3,ANT,12,Mercedes,7,6,NOR,1,McLaren,0 days 01:06:43.573000,0 days 01:05:17.680000,0 days 01:06:43.573000,False,False,False,False,0.49267294043964854,0.0,150.0,0.4,,False,True,False,0.2
2026,1,Australian Grand Prix,3,BEA,87,Haas F1 Team,12,11,ALO,14,Aston Martin,0 days 01:06:43.573000,0 days 01:05:17.680000,0 days 01:06:43.573000,False,False,False,False,0.5138371786253452,0.0,80.0,0.213,,False,True,False,0.2
2026,1,Australian Grand Prix,3,BOR,5,Audi,11,10,ALO,14,Aston Martin,0 days 01:06:43.573000,0 days 01:05:17.680000,0 days 01:06:43.573000,False,False,False,False,0.5081850511855013,0.0,206.0,0.4,,False,True,False,0.2
2026,1,Australian Grand Prix,3,LEC,16,Ferrari,2,1,RUS,63,Mercedes,0 days 01:06:43.573000,0 days 01:05:17.680000,0 days 01:06:43.573000,False,False,False,False,0.5091712844451486,0.0,380.0,0.4,,False,False,False,
