Year,Round,EventName,LapNumber,Overtaker,OvertakerNumber,OvertakerTeam,PositionBefore,PositionAfter,Overtaken,OvertakenNumber,OvertakenTeam,SessionTime,SameLapWindowStart,SameLapWindowEnd,PitInfluenceFlag,DNFInfluenceFlag,IsTeammate,Is_DRS_Active,RelativeDistance,Throttle_Drop_Index,Brake_Pressure_Delta,TeamOrderConfidence,Vmin_Deviation,OffTrack_Flag,Lockup_Flag,LocalYellowFlag,OffTrackConfidence
2025,2,Chinese Grand Prix,21,LEC,16,Ferrari,5,4,HAM,44,Ferrari,0 days 01:33:40.816000,0 days 01:32:02.831000,0 days 01:33:40.816000,False,False,True,1.0,0.4736742545582241,2.0,344.0,0.52,,False,True,False,0.2
2025,6,Miami Grand Prix,38,HAM,44,Ferrari,8,7,LEC,16,Ferrari,0 days 01:57:30.161000,0 days 01:55:59.994000,0 days 01:57:30.161000,False,False,True,0.0,0.5664115365978805,2.0,203.0,0.52,,False,True,False,0.2
2025,6,Miami Grand Prix,52,LEC,16,Ferrari,8,7,HAM,44,Ferrari,0 days 02:18:34.467000,0 days 02:17:04.222000,0 days 02:18:34.467000,False,False,True,0.0,0.5714429865333759,2.0,380.0,0.52,,False,True,False,0.2
2025,12,British Grand Prix,5,RUS,63,Mercedes,14,13,ANT,12,Mercedes,0 days 01:05:58.374000,0 days 01:04:13.565000,0 days 01:05:58.374000,False,False,True,0.0,0.5305668744749097,2.0,339.99999999999994,0.52,,False,True,True,0.3
2025,13,Belgian Grand Prix,11,BEA,87,Haas F1 Team,12,11,OCO,31,Haas F1 Team,0 days 02:40:29.631000,0 days 02:38:28.165000,0 days 02:40:29.631000,False,False,True,0.0,0.4865691261747462,3.6666666666666714,149.99999999999997,0.62,,False,True,False,0.2
2025,14,Hungarian Grand Prix,59,SAI,55,Williams,16,15,ALB,23,Williams,0 days 02:18:23.443000,0 days 02:17:03.507000,0 days 02:18:23.443000,False,False,True,0.0,0.5402328129966528,3.0,160.0,0.58,,False,True,False,0.2
2025,15,Dutch Grand Prix,71,COL,43,Alpine,13,12,GAS,10,Alpine,0 days 02:33:50.451000,0 days 02:32:37.560000,0 days 02:33:50.451000,False,False,True,0.0,0.5271654293482291,19.999854080000002,0.0,0.6,,False,True,False,0.2
2025,18,Singapore Grand Prix,56,HAM,44,Ferrari,7,6,LEC,16,Ferrari,0 days 02:25:42.584000,0 days 02:24:06.251000,0 days 02:25:42.584000,False,False,True,0.0,0.5140464419453081,13.0,200.0,1.0,,False,True,False,0.2
2025,18,Singapore Grand Prix,61,LEC,16,Ferrari,7,6,HAM,44,Ferrari,0 days 02:33:43.848000,0 days 02:32:07.591000,0 days 02:33:43.848000,False,False,True,0.0,0.5040288809257844,30.75,378.0,1.0,,False,False,False,
