Year,Round,EventName,LapNumber,Overtaker,OvertakerNumber,OvertakerTeam,PositionBefore,PositionAfter,Overtaken,OvertakenNumber,OvertakenTeam,SessionTime,SameLapWindowStart,SameLapWindowEnd,PitInfluenceFlag,DNFInfluenceFlag,IsTeammate,Is_DRS_Active,RelativeDistance,Throttle_Drop_Index,Brake_Pressure_Delta,TeamOrderConfidence,Vmin_Deviation,OffTrack_Flag,Lockup_Flag,LocalYellowFlag,OffTrackConfidence
2025,1,Australian Grand Prix,14,ANT,12,Mercedes,13,12,HUL,27,Kick Sauber,0 days 01:38:55.660000,0 days 01:37:24.865000,0 days 01:38:55.660000,False,False,False,1.0,0.49856455205768535,0.0,160.0,0.4,,False,True,False,0.2
2025,1,Australian Grand Prix,16,HUL,27,Kick Sauber,13,12,ANT,12,Mercedes,0 days 01:41:55.838000,0 days 01:40:25.886000,0 days 01:41:55.838000,False,False,False,0.0,0.501323989365334,0.0,,,,False,True,False,0.2
2025,1,Australian Grand Prix,17,ANT,12,Mercedes,13,12,HUL,27,Kick Sauber,0 days 01:43:26.102000,0 days 01:41:55.838000,0 days 01:43:26.102000,False,False,False,1.0,0.5021570433648473,0.0,300.0,0.4,,False,True,False,0.2
2025,1,Australian Grand Prix,17,PIA,81,McLaren,3,2,VER,1,Red Bull Racing,0 days 01:43:26.102000,0 days 01:41:55.838000,0 days 01:43:26.102000,False,False,False,0.0,0.5063881721168825,0.75,350.0,0.445,,False,True,False,0.2
2025,1,Australian Grand Prix,19,LAW,30,Red Bull Racing,16,15,OCO,31,Haas F1 Team,0 days 01:46:26.799000,0 days 01:44:56.248000,0 days 01:46:26.799000,False,False,False,1.0,0.5235039517210015,0.0,355.0,0.4,,False,True,False,0.2
2025,1,Australian Grand Prix,22,ANT,12,Mercedes,12,11,STR,18,Aston Martin,0 days 01:50:58.043000,0 days 01:49:27.743000,0 days 01:50:58.043000,False,False,False,1.0,0.508427255479024,1.0,193.0,0.46,,False,True,False,0.2
2025,1,Australian Grand Prix,43,TSU,22,Racing Bulls,6,5,LEC,16,Ferrari,0 days 02:28:03.586000,0 days 02:26:41.419000,0 days 02:28:03.586000,False,False,False,1.0,0.5088335774206165,0.0,15.0,0.04,,False,True,False,0.2
2025,1,Australian Grand Prix,44,GAS,10,Alpine,9,4,LEC,16,Ferrari,0 days 02:29:34.112000,0 days 02:28:03.586000,0 days 02:29:34.112000,False,False,False,0.0,0.5376887474845101,0.0,346.0,0.4,,False,True,True,0.3
2025,1,Australian Grand Prix,44,HAM,44,Ferrari,8,3,LEC,16,Ferrari,0 days 02:29:34.112000,0 days 02:28:03.586000,0 days 02:29:34.112000,False,False,True,1.0,0.537861378046675,0.0,399.0,0.4,,False,True,True,0.3
2025,1,Australian Grand Prix,45,HAM,44,Ferrari,3,2,TSU,22,Racing Bulls,0 days 02:31:06.986000,0 days 02:29:34.112000,0 days 02:31:06.986000,False,False,False,0.0,0.5653353542793056,0.0,64.99999999999994,0.173,,False,True,True,0.3
2025,1,Australian Grand Prix,46,LEC,16,Ferrari,5,2,TSU,22,Racing Bulls,0 days 02:32:52.732000,0 days 02:31:06.986000,0 days 02:32:52.732000,False,False,False,0.0,0.5861876440897338,0.0,0.0,,,False,True,True,0.3
2025,1,Australian Grand Prix,51,PIA,81,McLaren,13,12,OCO,31,Haas F1 Team,0 days 02:44:09.422000,0 days 02:41:55.244000,0 days 02:44:09.422000,False,False,False,0.0,0.5165114071003241,1.0,338.0,0.46,,False,True,False,0.2
2025,1,Australian Grand Prix,52,LEC,16,Ferrari,10,9,HAM,44,Ferrari,0 days 02:45:42.620000,0 days 02:44:09.422000,0 days 02:45:42.620000,False,False,True,0.0,0.49931484928221337,0.0,22.0,0.059,,False,True,False,0.2
2025,1,Australian Grand Prix,53,PIA,81,McLaren,12,11,TSU,22,Racing Bulls,0 days 02:47:13.102000,0 days 02:45:42.620000,0 days 02:47:13.102000,False,False,False,0.0,0.5028284406130386,1.0,210.0,0.46,,False,True,False,0.2
2025,1,Australian Grand Prix,54,HAM,44,Ferrari,10,9,GAS,10,Alpine,0 days 02:48:42.530000,0 days 02:47:13.102000,0 days 02:48:42.530000,False,False,False,1.0,0.505314375139613,0.0,50.999999999999986,0.136,,False,True,False,0.2
2025,1,Australian Grand Prix,54,LEC,16,Ferrari,9,8,GAS,10,Alpine,0 days 02:48:42.530000,0 days 02:47:13.102000,0 days 02:48:42.530000,False,False,False,0.0,0.5012003910974323,0.0,299.0,0.4,,False,True,False,0.2
2025,1,Australian Grand Prix,55,PIA,81,McLaren,11,10,GAS,10,Alpine,0 days 02:50:11.725000,0 days 02:48:42.530000,0 days 02:50:11.725000,False,False,False,0.0,0.5094760486198142,1.0,150.0,0.46,,False,True,False,0.2
2025,1,Australian Grand Prix,56,ANT,12,Mercedes,5,4,ALB,23,Williams,0 days 02:51:39.721000,0 days 02:50:11.725000,0 days 02:51:39.721000,False,False,False,0.0,0.5111379285295622,0.0,200.0,0.4,,False,True,False,0.2
2025,1,Australian Grand Prix,57,PIA,81,McLaren,10,9,HAM,44,Ferrari,0 days 02:53:06.847000,0 days 02:51:39.721000,0 days 02:53:06.847000,False,False,False,1.0,0.5170546693629658,1.0,400.0,0.46,,False,True,False,0.2
2025,2,Chinese Grand Prix,14,OCO,31,Haas F1 Team,15,14,ANT,12,Mercedes,0 days 01:21:57.516000,0 days 01:20:16.587000,0 days 01:21:57.516000,False,False,False,0.0,0.46965146289854104,0.0,332.99999999999994,0.4,,False,True,False,0.2
2025,2,Chinese Grand Prix,16,HAM,44,Ferrari,9,7,BEA,87,Haas F1 Team,0 days 01:25:32.532000,0 days 01:23:40.785000,0 days 01:25:32.532000,False,False,False,1.0,0.470972664528191,0.2916667022219741,200.0,0.418,,False,True,False,0.2
2025,2,Chinese Grand Prix,17,OCO,31,Haas F1 Team,14,13,HUL,27,Kick Sauber,0 days 01:27:11.041000,0 days 01:25:32.532000,0 days 01:27:11.041000,False,False,False,0.0,0.47122033726587276,0.0,380.0,0.4,,False,False,False,
2025,2,Chinese Grand Prix,17,PIA,81,McLaren,2,1,ALB,23,Williams,0 days 01:27:11.041000,0 days 01:25:32.532000,0 days 01:27:11.041000,False,False,False,0.0,0.4709292744290045,2.0,13.0,0.155,,False,False,False,
