Year,Round,EventName,LapNumber,Overtaker,OvertakerNumber,OvertakerTeam,PositionBefore,PositionAfter,Overtaken,OvertakenNumber,OvertakenTeam,SessionTime,SameLapWindowStart,SameLapWindowEnd,PitInfluenceFlag,DNFInfluenceFlag,IsTeammate,Is_DRS_Active,RelativeDistance,Throttle_Drop_Index,Brake_Pressure_Delta,TeamOrderConfidence,Vmin_Deviation,OffTrack_Flag,Lockup_Flag,LocalYellowFlag,OffTrackConfidence
2023,1,Bahrain Grand Prix,2,GAS,10,Alpine,19,18,MAG,20,Haas F1 Team,0 days 01:05:53.876000,0 days 01:04:15.902000,0 days 01:05:53.876000,False,False,False,False,0.4882181062194469,0.0,250.0,0.4,,False,True,True,0.3
2023,1,Bahrain Grand Prix,3,DEV,21,AlphaTauri,20,19,MAG,20,Haas F1 Team,0 days 01:07:31.882000,0 days 01:05:53.876000,0 days 01:07:31.882000,False,False,False,False,0.48695430940095974,0.0,193.0,0.4,,False,True,False,0.2
2023,1,Bahrain Grand Prix,4,ALB,23,Williams,12,11,NOR,4,McLaren,0 days 01:09:09.858000,0 days 01:07:31.882000,0 days 01:09:09.858000,False,False,False,False,0.4882771661494691,5.119995631019947e-06,150.0,0.4,,False,True,False,0.2
2023,1,Bahrain Grand Prix,4,OCO,31,Alpine,11,10,NOR,4,McLaren,0 days 01:09:09.858000,0 days 01:07:31.882000,0 days 01:09:09.858000,False,False,False,True,0.4893954131764104,1.0,0.0,0.06,,False,True,False,0.2
2023,1,Bahrain Grand Prix,4,TSU,22,AlphaTauri,15,14,HUL,27,Haas F1 Team,0 days 01:09:09.858000,0 days 01:07:31.882000,0 days 01:09:09.858000,False,False,False,True,0.49039367227160446,0.0,266.0,0.4,,False,False,False,
2023,1,Bahrain Grand Prix,5,STR,18,Aston Martin,9,8,BOT,77,Alfa Romeo,0 days 01:10:47.893000,0 days 01:09:09.858000,0 days 01:10:47.893000,False,False,False,False,0.49066291002807505,0.0,50.00000000000001,0.133,,False,True,False,0.2
2023,1,Bahrain Grand Prix,14,BOT,77,Alfa Romeo,10,8,MAG,20,Haas F1 Team,0 days 01:25:35.552000,0 days 01:23:54.257000,0 days 01:25:35.552000,False,False,False,False,0.48849102700531877,0.0,380.0,0.4,,False,True,False,0.2
2023,1,Bahrain Grand Prix,17,ALO,14,Aston Martin,7,6,BOT,77,Alfa Romeo,0 days 01:30:42.752000,0 days 01:29:01.392000,0 days 01:30:42.752000,False,False,False,False,0.49002061148514126,0.0,68.0,0.181,,False,True,False,0.2
2023,1,Bahrain Grand Prix,18,RUS,63,Mercedes,8,7,BOT,77,Alfa Romeo,0 days 01:32:26.993000,0 days 01:30:42.752000,0 days 01:32:26.993000,False,False,False,False,0.4883938948046572,0.0,32.00000000000003,0.085,,False,True,False,0.2
2023,1,Bahrain Grand Prix,18,ZHO,24,Alfa Romeo,17,15,HUL,27,Haas F1 Team,0 days 01:32:26.993000,0 days 01:30:42.752000,0 days 01:32:26.993000,False,False,False,False,0.4898461716364467,0.7083333333333357,79.99999999999996,0.256,,False,True,False,0.2
2023,1,Bahrain Grand Prix,20,STR,18,Aston Martin,9,8,BOT,77,Alfa Romeo,0 days 01:35:42.493000,0 days 01:34:04.705000,0 days 01:35:42.493000,False,False,False,False,0.49077427172855886,0.0,0.0,,,False,True,False,0.2
2023,1,Bahrain Grand Prix,23,NOR,4,McLaren,19,18,OCO,31,Alpine,0 days 01:40:35.278000,0 days 01:38:57.726000,0 days 01:40:35.278000,False,False,False,False,0.49009817093473473,0.0,49.999999999999986,0.133,,False,False,False,
2023,1,Bahrain Grand Prix,25,ZHO,24,Alfa Romeo,15,14,DEV,21,AlphaTauri,0 days 01:43:50.037000,0 days 01:42:12.665000,0 days 01:43:50.037000,False,False,False,False,0.48819196334766446,0.0,327.99999999999994,0.4,,False,False,False,
2023,1,Bahrain Grand Prix,26,PER,11,Red Bull Racing,3,2,LEC,16,Ferrari,0 days 01:45:27.719000,0 days 01:43:50.037000,0 days 01:45:27.719000,False,False,False,False,0.48712422969580244,0.0,6.0,0.016,,False,False,False,
2023,1,Bahrain Grand Prix,38,ALO,14,Aston Martin,6,5,HAM,44,Mercedes,0 days 02:05:22.117000,0 days 02:03:45.820000,0 days 02:05:22.117000,False,False,False,False,0.4886034154117881,1.0,240.0,0.46,,False,True,False,0.2
2023,1,Bahrain Grand Prix,43,ZHO,24,Alfa Romeo,13,12,DEV,21,AlphaTauri,0 days 02:13:57.714000,0 days 02:12:20.824000,0 days 02:13:57.714000,False,False,False,False,0.49148966738200706,0.0,290.0,0.4,,False,True,False,0.2
2023,1,Bahrain Grand Prix,44,SAR,2,Williams,14,13,DEV,21,AlphaTauri,0 days 02:15:33.950000,0 days 02:13:57.714000,0 days 02:15:33.950000,False,False,False,False,0.4893326047124488,0.0,419.00000000000006,0.4,,False,True,False,0.2
