Year,Round,EventName,LapNumber,Overtaker,OvertakerNumber,OvertakerTeam,PositionBefore,PositionAfter,Overtaken,OvertakenNumber,OvertakenTeam,SessionTime,SameLapWindowStart,SameLapWindowEnd,PitInfluenceFlag,DNFInfluenceFlag,IsTeammate,Is_DRS_Active,RelativeDistance,Throttle_Drop_Index,Brake_Pressure_Delta,TeamOrderConfidence,Vmin_Deviation,OffTrack_Flag,Lockup_Flag,LocalYellowFlag,OffTrackConfidence
2019,11,German Grand Prix,56,GIO,99,Alfa Romeo Racing,12,11,MAG,20,Haas F1 Team,0 days 02:12:02.835000,0 days 02:10:44.971000,0 days 02:12:02.835000,False,False,False,True,0.5197124705679488,0.0,240.0,0.4,13.83,False,True,True,0.7
2019,19,United States Grand Prix,54,HUL,27,Renault,10,9,PER,11,Racing Point,0 days 02:03:58.522000,0 days 02:02:19.468000,0 days 02:03:58.522000,False,False,False,False,0.5158855973951673,0.0,0.0,,20.63,False,True,True,0.7
